PROLIFIC_PID,familiarity,like,playlist
5c6af6b781d8da000100d460,1,4,1
5f5c0afb55bc9f3eced6f307,1,4,2
60d3073ad8226faf632f6ef7,2,3,2
6170ab07c9a3ea327b2b106c,3,5,2
