genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Virus Inc,The Virus - Original Mix,9,DEBL61124964,https://www.youtube.com/watch?v=UXt2hhG19fo,10548
hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,"DJ Matto,DJ Dean",Angels Fly - DJ Dean Remix,8,CH5010600052,https://www.youtube.com/watch?v=ZfaiNVCSqWE,7741
jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,"Ram Trilogy,Andy C",No Reality (Andy C Remix),32,GB5KW2000466,https://www.youtube.com/watch?v=1rOnckIU4GQ,85438
disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Din Dong,W Perły Zmienić Deszcz,8,PLO381500861,https://www.youtube.com/watch?v=E6rbRYZNdOA,13229
afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,Nutty Nys,The Promise,23,ZAI0F2000021,https://www.youtube.com/watch?v=vlMcO1Npqv8,16054
euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Neilio,Ohwin",Wish I Never Met You (The Vision Remix) - Radio Edit,34,BEB681500320,https://www.youtube.com/watch?v=-pAAnBoMpSc,49786
breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Alec Empire,Addicted to You,19,GBBXA0100738,https://www.youtube.com/watch?v=i9HdGqR2lMU,77680
euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,Deepack,Fly Away,33,BEB681800376,https://www.youtube.com/watch?v=B5eLlw7trzc,31947
jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,DJ Die,Autumn - Commix Remix,23,GBCEQ1400125,https://www.youtube.com/watch?v=bGBRMhpalP8,8097
breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Belladonnakillz,Tribute 2 Drugz,18,CAAD20610109,https://www.youtube.com/watch?v=qQ7-JeIVqu4,60645
jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,DJ Rap,Spiritual Aura - 94 Mix - Mixed,23,GBEXH2000194,https://www.youtube.com/watch?v=7_rCrYYrKCQ,9819
afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,Atmos Blaq,Till We Meet Again,20,QMEU32018568,https://www.youtube.com/watch?v=gEfleQPTqU8,5732
jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,Johnny Jungle,Johnny '94 - Dillinja Remix,23,GBDLM1300441,https://www.youtube.com/watch?v=LnEeFa8JTc0,67252
jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,"Marvellous Cain,Cutty Ranks",The HitMan,23,GB8KE1755591,https://www.youtube.com/watch?v=yXlhl0dOQuQ,23346
vocal trance,spotify:playlist:4pkYvU2Gr39rQZ8JWzbdyc,"Sue McLaren,Kaimo K",As If Leaving You Is Easy,22,NLC731900038,https://www.youtube.com/watch?v=ky6Zq4ZdKhY,75015
euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,Noiseshock,Echoes,31,NLS761700504,https://www.youtube.com/watch?v=sOAaGsSlJxw,62023
witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Ritualz,Third Eye Sixth Sense,34,QM2PV1693114,https://www.youtube.com/watch?v=9EX7Ps9_OXE,36350
euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Forever Lost,Anklebreaker",Risen Again (2017 Hardstyle Dna Anthem),30,TCADA1731099,https://www.youtube.com/watch?v=mzPu78ml_0M,62906
skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Eero Johannes,Real Virtuality,13,FR5Z91300021,https://www.youtube.com/watch?v=Gp_SAkEylHg,83444
skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Pavan,Renita,23,GBKPL1670319,https://www.youtube.com/watch?v=8za5ZL4ElxY,5858
euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,Exilium,Heart of Glass,28,DEAR41711477,https://www.youtube.com/watch?v=tf4Kq-JuGrA,52053
hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Deepforces,Godlike - Radio Mix,29,DEHK90803808,https://www.youtube.com/watch?v=2FvprjN50_A,7461
breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Emotional Joystick,Eight,10,USPHE0100013,https://www.youtube.com/watch?v=piiGyn4dn7s,12699
witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Modern Witch,Desire,17,USI4R1131686,https://www.youtube.com/watch?v=irwbDpkEImU,31613
hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Dumonde,Never Look Back - Radio Edit,26,DEBL60678353,https://www.youtube.com/watch?v=iNUR4VGypEM,9453
disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Fanatic,Powiadali przyjaciele - Czarownica,39,PLB170701335,https://www.youtube.com/watch?v=EBw8PuVjPhk,11950
witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Holy Other,Know Where,18,GBCW31200026,https://www.youtube.com/watch?v=DcpRPRKEDfc,59890
disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Magda Niewińska,Przetańczyć z Tobą Chcę Całą Noc,35,PLO381501393,https://www.youtube.com/watch?v=cHOp2WjpXjg,68903
