genre,maingenre
acid house,house
acid jazz,funk
acid techno,techno
acid trance,trance
acidcore,hardcore
afro house,house
afroswing,hip hop
aggrotech,industrial
alternative dance,rock
alternative hip hop,hip hop
amapiano,house
ambient,ambient
ambient house,house
ambient industrial,ambient
ambient techno,techno
azonto,ethnic
bass house,house
bass music,bass
bassline,garage
berlin school,electronica
big beat,breakbeat
bitpop,videogame
bleep techno,techno
boogie,disco
brazilian bass,house
breakbeat,breakbeat
breakcore,hardcore
broken beat,breakbeat
brostep,garage
bubblegum dance,disco
chicago house,house
chillstep,garage
chillwave,hauntology
chiptune,videogame
complextro,house
dark ambient,ambient
dark electro,industrial
dark psytrance,trance
darkstep,drum and bass
darksynth,hauntology
death industrial,noise
deconstructed club,industrial
deep house,house
detroit techno,techno
digital hardcore,hardcore
disco house,house
disco polo,rock
diva house,house
doomcore,hardcore
downtempo,chillout
dream trance,trance
drone,ambient
drum and bass,drum and bass
drumfunk,drum and bass
dub techno,techno
dubstep,garage
dungeon synth,ambient
dutch house,house
electro house,house
electro swing,house
electro-industrial,industrial
electroacoustic improvisation,electroacoustic
electroclash,rock
electronica,electronica
electronicore,rock
ethereal wave,rock
euphoric hardstyle,hardstyle
eurobeat,disco
eurodance,disco
fidget house,house
folktronica,electronica
footwork,bass
frenchcore,hardcore
funk carioca,ethnic
funky house,house
future bass,bass
future funk,hauntology
future garage,garage
future house,house
futurepop,industrial
garage house,house
ghettotech,house
glitch,IDM
goa trance,trance
gqom,house
hands up,trance
happy hardcore,hardcore
hard trance,trance
hardcore breaks,breakbeat
hardstyle,hardstyle
hardvapour,hauntology
hauntology,hauntology
hi-nrg,disco
hip house,house
hyperpop,rock
illbient,ambient
industrial hardcore,hardcore
industrial techno,techno
intelligent dance music,IDM
italo dance,disco
italo house,house
j-core,hardcore
japanoise,noise
jazz house,house
jazztronica,electronica
jersey club,breakbeat
jumpstyle,hardstyle
jungle,jungle
kawaii future bass,bass
krautrock,rock
kuduro,ethnic
kwaito,house
latin house,house
liquid funk,drum and bass
livetronica,electronica
lowercase,ambient
madchester,rock
mahraganat,ethnic
martial industrial,industrial
melbourne bounce,house
miami bass,hip hop
microhouse,house
minimal techno,techno
minimal wave,rock
moombahton,house
neurofunk,drum and bass
new beat,industrial
new rave,rock
new romantic,rock
nintendocore,videogame
nitzhonot,trance
nu skool breaks,breakbeat
outsider house,house
plunderphonics,plunderphonics
post-disco,disco
power electronics,noise
power noise,noise
progressive breaks,breakbeat
progressive house,house
progressive psytrance,trance
progressive trance,trance
psychedelic trance,trance
psydub,chillout
ragga jungle,jungle
raggatek,techno
rawstyle,hardstyle
sambass,drum and bass
schranz,techno
skweee,videogame
slap house,house
soulful house,house
sovietwave,hauntology
speed garage,garage
speedcore,hardcore
suomisaundi,trance
synthwave,hauntology
tech house,house
tech trance,trance
techno,techno
terrorcore,hardcore
trancecore,hardcore
tribal house,house
trip hop,chillout
tropical house,house
uk funky,garage
uk garage,garage
uplifting trance,trance
vaporwave,hauntology
vocal trance,trance
witch house,industrial
