,LB_username,PROLIFIC_PID,TASTE_VARIED,EM_LISTEN,EM_VARIED,LIST_TIME,A_DK_SCORE,G_DK_SCORE,AVG_DK_SCORE,OPEN_SCORE,LB_WORKING,D_SCORE,O_SCORE,EM_tracks_count
11,anasofiamachado,5f285902166da3151b01faf2,5,4,4,3,0.65,6.15,3.4,4,1,-0.43,2,10
19,berenike,5f11ccbc1a1a2c08b4a99efb,4,2,3,4,0.8,4.9,2.85,5,0,-1.012,5,0
20,BlueGiuly,60b3576258dd0303232cb158,3,1,1,4,2.22,4.65,3.44,3,1,0.357,2,58
23,brunix21,6166e78051425fa22de68491,4,2,2,3,2.5,6.1,4.3,3,1,-0.388,3,1
25,Capuchinho,616b2703143d4550968777b8,4,2,3,3,0.2,2.2,1.2,5,0,0.03,5,0
28,Chaps03,60c939c438c389b49847c08b,5,3,3,2,2.2,6.7,4.45,5,1,0.151,5,0
40,Francisca,61641b8573a9dcd29ba9d87b,4,2,2,3,1.03,5.9,3.46,2,1,0.082,2,40
41,francisco98,605663e5147a7b66e6853a0b,4,4,4,3,1.2,7.15,4.17,1,1,-0.838,4,9
43,giulispaggiari,5f6132f075b3fa0ac649fd3c,4,2,1,3,0.3,6.72,3.51,5,1,-0.563,5,1
48,Ile.96,5f33ead9400eee2403448c32,5,2,2,3,2.0,3.88,2.94,4,1,-0.551,3,20
50,Inês,5ef698a927c8ea38d5bcc192,4,2,2,2,2.58,5.68,4.12,2,1,-0.445,2,25
51,inxsc,5fb680f7e13f87000aa59a9a,5,3,3,4,1.55,7.55,4.55,4,1,-0.658,4,9
52,ippo,5f8eed755fcafb0baa531301,4,2,3,2,0.15,2.83,1.49,3,1,0.116,3,1
54,janybatista,5df76aff2d2185502504d15c,4,2,3,2,2.45,3.1,2.78,2,1,-0.021,3,1
56,joaoms98,6076dfb3ec881562b02b03a7,4,2,3,3,0.98,8.15,4.56,1,1,0.145,3,24
57,JohnnyMichaels,5f27df9a9858eb0008fd7aa3,5,2,2,3,4.02,5.35,4.69,2,1,-0.252,1,1
60,LBS,612fe64ec0e4e3b001e553ef,5,4,4,2,3.05,4.1,3.58,5,0,-0.333,4,0
61,Lostveneto,5f0471a92ec97b6d1aec7739,2,1,3,4,0.47,4.83,2.65,4,1,0.259,4,1
62,LP22,5e92f26b444572122fdfe44d,4,3,2,2,3.48,4.28,3.88,1,1,0.195,5,128
63,Luijinho,5ecd600061398f0bffb5ccef,4,4,4,4,1.2,6.5,3.85,5,1,0.521,5,11
65,mapu25,60fd945c307626b8b4d4e4dc,4,1,3,2,0.3,4.1,2.2,0,1,-0.006,0,13
66,mariana02,5f03e27b71331161cf1f7f76,5,2,2,4,0.12,4.25,2.19,1,1,-0.551,0,3
71,MLN,615e2e6bb4b4ab6fa6f6086f,4,3,4,2,2.12,5.35,3.74,4,1,0.376,4,9
73,nowhereknows,60aabff11bad269f664ccbc7,5,3,2,4,0.6,4.0,2.3,4,1,-0.192,4,80
75,Ordep123,5d70ec2138ac7e00012f817b,4,3,4,2,0.9,3.13,2.01,4,1,-1.051,5,14
76,ossalatodipotassio,61071bc6d5e086fc27f57884,5,4,3,3,2.12,7.5,4.81,1,1,0.031,2,5
77,outofljfe,60ecadbc339c0f0e49a9c370,4,2,2,2,0.45,2.4,1.43,4,1,-0.065,4,18
78,pirolocams,5f20247996215b06459cdfff,3,2,2,3,1.05,4.62,2.84,5,1,0.246,5,17
79,popu,60bd04a3749e1ca47e54d3e1,2,1,1,2,0.68,7.5,4.09,2,1,-0.13,2,5
80,prolificuser,608539cd54e4230bbaaf4959,4,2,2,2,0.95,5.25,3.1,1,1,0.39,4,2
81,quicomedeiros,5e85fb52694b68049c112544,4,3,3,2,0.55,4.0,2.27,4,1,0.577,1,28
85,RickyLB,6145dddfa6fcfd396e1f4f1a,4,2,3,2,1.63,6.75,4.19,1,1,0.072,1,18
86,ricxtreme,605c984fb45a5c4f390a8c6b,4,4,4,4,2.52,5.48,4.0,5,1,0.254,4,378
87,ritamont,60f5a332d13bb868d7724c52,4,1,1,2,2.08,4.9,3.49,1,1,-0.031,2,87
89,Ruhdyy,60199014a4f7250bea248b6d,5,4,4,3,0.38,3.1,1.74,3,1,0.356,2,14
90,ruiipereiraa,5ebc3cc7adb5e706b8021deb,4,3,2,4,0.45,2.1,1.27,1,1,-0.217,4,52
91,ruipedro3,5ef36b13c358120b8508ab5d,4,4,4,3,1.9,5.35,3.63,2,1,0.335,2,81
92,salvatore9,613d091096ca434d703f77c5,5,4,5,2,2.47,5.23,3.85,5,1,-0.159,5,94
93,sarafdelgado,5c7c3909042bf900012ab4d1,4,4,2,2,4.15,4.35,4.25,4,1,0.148,3,85
94,saturnzbarzs,60a44015d0ff9f3d81a1a1c8,4,3,2,3,1.9,7.1,4.5,5,1,0.301,5,12
95,silvawestcoast,6134fe6f036b9de4fb216cb2,5,4,2,2,0.7,6.78,3.74,4,1,-0.321,4,97
96,sneakysoup,5c0fde85d86a170001faa55a,4,4,2,3,2.52,4.28,3.4,5,1,-0.542,5,8
97,SofiiFreitas,609e866bea124d8bae2e1ce8,4,3,2,2,2.38,6.88,4.62,3,1,-0.098,4,1
98,Solk,612ccc537fd00ae8b3e8b95f,4,3,4,2,1.2,5.43,3.31,4,1,0.295,4,4
99,SunshineT93,5f8f1d38e25d2b1306f8e554,4,2,1,2,1.13,3.35,2.24,2,1,0.733,3,0
101,Theossi2000,6024c1edf9b0e11f13c59cbd,4,4,4,4,3.92,5.75,4.84,5,1,-0.341,5,247
102,tiagofcneves,612820047346933da8342f74,4,3,3,2,0.2,4.95,2.58,5,1,-0.55,5,3
103,tommyjarvis,5dcbea3588381e87f60cb202,2,3,1,2,2.15,5.2,3.68,2,1,-0.487,4,11
104,user112553,5d39dd63c49dae00016065c7,4,4,4,4,1.48,6.55,4.01,5,1,-0.074,5,704
105,valxros,6082f09379b513197ffeb54e,4,3,4,2,0.48,5.33,2.9,5,1,-0.44,3,0
106,vampiregrave,5d8346167ed176001888204d,4,1,1,2,3.2,6.73,4.96,1,1,-0.251,4,32
107,VeroBerardi,5c39af407aa30a0001ffac91,5,4,4,2,3.88,5.0,4.44,1,1,0.294,1,8
108,versilvia,5ea718879d28c80bf38bcb7f,4,3,2,2,3.57,6.08,4.83,3,1,0.456,3,1
109,Vittoria,611cf2fd04c64ae9781b55e5,4,2,2,2,2.98,6.0,4.49,3,1,0.494,3,23
110,vrnk98,5bef1e56c19fcd0001cdf4c7,4,3,4,2,0.23,8.07,4.15,4,1,0.59,4,0
