genre,count,mean_pop,std_pop,min_pop,q1_pop,q2_pop,q3_pop,max_pop
italo dance,100.0,21.39,21.637927326569404,0.0,1.0,12.5,40.25,76.0,
italo house,98.0,15.96938775510204,13.510937975659445,0.0,4.0,14.0,22.75,64.0,
j-core,97.0,16.587628865979383,13.913986201929747,0.0,2.0,14.0,29.0,47.0,
jazz house,100.0,29.08,13.417672651914689,2.0,19.0,31.0,38.0,61.0,
jazztronica,99.0,34.15151515151515,16.24328032892851,0.0,22.0,36.0,46.0,64.0,
jersey club,100.0,16.31,13.379235381513377,0.0,4.75,14.0,27.25,53.0,
jumpstyle,100.0,11.57,13.511128970615525,0.0,1.0,6.5,19.0,53.0,
jungle,100.0,30.73,13.264865874431852,0.0,23.0,33.0,41.0,58.0,
kawaii future bass,100.0,38.09,12.833112945766038,0.0,32.0,38.0,46.0,69.0,
kuduro,100.0,21.66,11.061097539931506,0.0,13.75,21.0,29.0,51.0,
latin house,100.0,22.47,16.761822301548445,0.0,8.0,20.0,38.25,62.0,
liquid funk,100.0,38.81,9.522641811530406,12.0,34.0,40.0,45.0,62.0,
lowercase,98.0,3.438775510204082,6.838439453213749,0.0,0.0,1.0,2.75,43.0,
mahraganat,95.0,24.49473684210526,18.68260864069845,0.0,6.0,26.0,39.5,59.0,
melbourne bounce,100.0,16.79,17.369597844881994,0.0,2.75,11.0,24.0,72.0,
miami bass,100.0,18.81,15.658408526276148,0.0,5.0,16.0,29.0,59.0,
microhouse,100.0,37.38,9.627171144340599,8.0,32.75,38.5,44.0,58.0,
minimal techno,100.0,39.94,11.244590169535218,8.0,32.0,40.5,48.0,68.0,
minimal wave,100.0,19.52,12.594274793562255,0.0,8.0,19.0,31.0,43.0,
moombahton,99.0,23.11111111111111,18.52515602891624,0.0,7.0,21.0,36.5,72.0,
neurofunk,100.0,27.05,11.378142256630523,0.0,18.0,28.0,37.0,49.0,
new beat,100.0,13.04,12.244908238846781,0.0,3.0,11.0,19.25,68.0,
new rave,97.0,44.4639175257732,14.690602052325623,5.0,36.0,46.0,55.0,71.0,
nintendocore,100.0,19.93,15.81602243475159,0.0,6.0,17.5,33.0,65.0,
nitzhonot,90.0,6.7,9.594532619141761,0.0,1.0,3.0,9.0,58.0,
nu skool breaks,99.0,12.828282828282829,11.41878188224532,0.0,3.0,11.0,19.0,43.0,
outsider house,100.0,27.7,13.911335396907534,0.0,19.0,30.0,38.0,56.0,
plunderphonics,87.0,4.011494252873563,9.56312473608861,0.0,0.0,0.0,3.0,58.0,
post-disco,100.0,47.23,10.56471638631309,15.0,39.0,48.0,54.25,70.0,
power electronics,100.0,5.12,6.272080189138998,0.0,0.0,2.0,9.0,24.0,
power noise,99.0,5.494949494949495,7.198885595976215,0.0,0.5,3.0,8.0,35.0,
progressive breaks,98.0,4.336734693877551,6.022199272127826,0.0,0.0,2.0,5.75,24.0,
progressive house,100.0,42.95,7.981512729711421,10.0,39.0,44.0,47.0,62.0,
progressive psytrance,99.0,24.737373737373737,14.137506822449758,1.0,12.0,25.0,35.0,55.0,
progressive trance,100.0,34.65,10.185526471172194,5.0,30.75,36.5,42.0,51.0,
psychedelic trance,100.0,30.5,10.366515637601983,5.0,23.0,30.0,37.0,62.0,
psydub,100.0,19.54,11.94297900336208,0.0,8.0,19.5,30.0,45.0,
ragga jungle,100.0,13.55,14.248427168206208,0.0,1.0,8.0,21.25,54.0,
raggatek,96.0,17.364583333333332,13.496291725910389,0.0,8.0,13.0,23.25,56.0,
rawstyle,100.0,37.45,9.121375715838864,17.0,32.0,37.0,44.0,59.0,
sambass,98.0,14.724489795918368,12.767371922971558,0.0,4.0,11.0,23.0,50.0,
schranz,99.0,9.232323232323232,9.729849174354106,0.0,1.0,6.0,13.0,41.0,
skweee,94.0,3.3085106382978724,7.755714640567116,0.0,0.0,0.0,2.0,42.0,
slap house,100.0,51.35,18.173337668689317,1.0,40.0,53.5,63.25,91.0,
soulful house,100.0,29.77,12.819536070018488,2.0,19.0,31.0,39.0,59.0,
sovietwave,98.0,15.846938775510203,14.61206396142269,0.0,3.25,12.5,24.0,74.0,
speed garage,88.0,21.818181818181817,16.861535806671515,0.0,7.0,20.5,35.25,60.0,
speedcore,99.0,13.383838383838384,12.452937585334071,0.0,1.5,10.0,24.0,42.0,
suomisaundi,98.0,2.5816326530612246,3.24886489102885,0.0,0.0,2.0,3.0,19.0,
synthwave,100.0,38.87,6.955348207449336,25.0,33.0,38.0,44.0,55.0,
tech house,100.0,42.09,9.239894835205464,6.0,37.0,44.0,48.0,64.0,
tech trance,98.0,16.70408163265306,11.318454216408597,0.0,8.0,14.0,24.5,48.0,
techno,100.0,27.37,13.997586372029438,0.0,18.75,27.0,37.0,58.0,
terrorcore,99.0,2.3535353535353534,3.3664404119495064,0.0,0.0,1.0,2.5,13.0,
trancecore,100.0,32.02,17.220483457355385,0.0,20.75,35.0,43.25,70.0,
tribal house,100.0,21.93,16.029804941565775,0.0,6.0,19.5,35.0,59.0,
trip hop,100.0,43.9,11.195688203207267,8.0,36.0,45.5,51.25,68.0,
tropical house,100.0,61.0,13.067810710584874,0.0,56.0,61.0,68.0,87.0,
uk funky,99.0,9.262626262626263,15.13111799596694,0.0,0.0,1.0,14.0,56.0,
uk garage,99.0,25.353535353535353,18.731896365701207,0.0,5.0,28.0,42.0,56.0,
uplifting trance,100.0,36.67,8.69814214460058,10.0,31.75,37.0,43.25,58.0,
vaporwave,100.0,30.19,12.082791001413472,6.0,22.0,31.0,38.25,59.0,
vocal trance,100.0,15.59,14.6460564554753,0.0,3.0,13.0,25.5,56.0,
witch house,99.0,7.656565656565657,12.035798317774997,0.0,0.0,3.0,8.0,59.0,
