yt_id,genre,maingenre,artist_name,track_name,track_pop,viewCount,track_isrc,bpm,dance,timbre,instr,voice,yt_link,pl_id,emb_path,emb_path_2,feat_path
nvA5dh02Mz8,deep house,house,"Trackheadz,Zaki Ibrahim",Feel (feat. Zaki Ibrahim) - Original,24,69536,USLZJ1688667,122.037338257,2.5868678093,0.0242944154888,0.758454918861,0.578730821609,https://www.youtube.com/watch?v=nvA5dh02Mz8,spotify:playlist:4ZRv1fFjjwpgAcosytT3bd,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/nvA5dh02Mz8.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/nvA5dh02Mz8.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/nvA5dh02Mz8.json
cwCkG16EfAk,deep house,house,Masters At Work,Work (Radio Edit),18,4113,GBCFZ0701294,129.663925171,1.41788423061,0.517904102802,0.0868501886725,0.895150542259,https://www.youtube.com/watch?v=cwCkG16EfAk,spotify:playlist:4ZRv1fFjjwpgAcosytT3bd,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/cwCkG16EfAk.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/cwCkG16EfAk.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/cwCkG16EfAk.json
U4viIp-q1Ts,disco house,house,Sebb Junior,Lover,39,5011,GBKQU1952146,122.934356689,1.69032037258,0.99414986372,0.0607950948179,0.144093766809,https://www.youtube.com/watch?v=U4viIp-q1Ts,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/U4viIp-q1Ts.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/U4viIp-q1Ts.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/U4viIp-q1Ts.json
vid4XjhzOuM,disco house,house,Darius Syrossian,Tivoli's Groove,38,43439,GBCPZ2017334,128.028625488,1.59364402294,0.982766389847,0.00705905305222,0.895147204399,https://www.youtube.com/watch?v=vid4XjhzOuM,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/vid4XjhzOuM.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/vid4XjhzOuM.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/vid4XjhzOuM.json
RE8ZDDSxAZw,disco house,house,Discotron,Disco Ballin',30,8291,GBRBN1500026,111.985183716,1.74761414528,0.864308714867,0.787614345551,0.719363987446,https://www.youtube.com/watch?v=RE8ZDDSxAZw,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/RE8ZDDSxAZw.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/RE8ZDDSxAZw.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/RE8ZDDSxAZw.json
tnsE1tNFoxI,disco house,house,Demuir,High. Alive. And Dirty.,29,49290,GBK6Y1913602,125.020484924,1.57238650322,0.426549077034,0.278675466776,0.939414143562,https://www.youtube.com/watch?v=tnsE1tNFoxI,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/tnsE1tNFoxI.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/tnsE1tNFoxI.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/tnsE1tNFoxI.json
MAY_2kCSevk,diva house,house,Roger S.,The Deep (Main Mix) [Mixed],8,4572,AUXN22060049,124.866249084,1.46574652195,0.789674222469,0.0584966018796,0.168614029884,https://www.youtube.com/watch?v=MAY_2kCSevk,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/MAY_2kCSevk.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/MAY_2kCSevk.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/MAY_2kCSevk.json
hG7dlGwBefU,diva house,house,"Deep Dish,Richard Morel,BT",Mohammad Is Jesus...,31,4782,GBARS9800064,125.005050659,1.4283182621,0.986535787582,0.109875157475,0.804035246372,https://www.youtube.com/watch?v=hG7dlGwBefU,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/hG7dlGwBefU.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/hG7dlGwBefU.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/hG7dlGwBefU.json
lxYaEkIfV3g,diva house,house,Pepper Mashay,I've got My Pride,18,7232,usy280792108,133.029037476,1.57649827003,0.690702855587,0.0180062428117,0.74012619257,https://www.youtube.com/watch?v=lxYaEkIfV3g,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/lxYaEkIfV3g.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/lxYaEkIfV3g.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/lxYaEkIfV3g.json
hv72sF8QKLI,dutch house,house,"Rolvario,Weiss Schnur,Xamplify",We Rockin It - Weiss Schnur Remix,28,62425,AUVR21309603,128.204269409,1.33568322659,0.785116434097,0.102295346558,0.916875064373,https://www.youtube.com/watch?v=hv72sF8QKLI,spotify:playlist:2A2qSpDa4K8gD55D7sDJe7,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/hv72sF8QKLI.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/hv72sF8QKLI.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/hv72sF8QKLI.json
