LB_username,PROLIFIC_PID,TASTE_VARIED,EM_LISTEN,EM_VARIED,LIST_TIME,A_DK_SCORE,G_DK_SCORE,AVG_DK_SCORE,OPEN_SCORE,LB_WORKING,D_SCORE,O_SCORE,TRACKS_COUNT
MLN,615e2e6bb4b4ab6fa6f6086f,4,3,4,2,2.12,5.35,3.74,4,1,0.376,4,24
mrndcn,5b0a93f030d562000155259e,4,1,3,2,1.05,1.4,1.22,5,1,-0.742,5,229
nowhereknows,60aabff11bad269f664ccbc7,5,3,2,4,0.6,4,2.3,4,1,-0.192,4,786
olline,5ebefa4d2bd5510ff39688c1,5,4,4,4,2.08,3.33,2.7,5,1,0.092,5,175
Ordep123,5d70ec2138ac7e00012f817b,4,3,4,2,0.9,3.13,2.01,4,1,-1.051,5,99
ossalatodipotassio,61071bc6d5e086fc27f57884,5,4,3,3,2.12,7.5,4.81,1,1,0.031,2,382
outofljfe,60ecadbc339c0f0e49a9c370,4,2,2,2,0.45,2.4,1.43,4,1,-0.065,4,213
pirolocams,5f20247996215b06459cdfff,3,2,2,3,1.05,4.62,2.84,5,1,0.246,5,412
popu,60bd04a3749e1ca47e54d3e1,2,1,1,2,0.68,7.5,4.09,2,1,-0.13,2,183
prolificuser,608539cd54e4230bbaaf4959,4,2,2,2,0.95,5.25,3.1,1,1,0.39,4,11
quicomedeiros,5e85fb52694b68049c112544,4,3,3,2,0.55,4,2.27,4,1,0.577,1,422
Ramiroowww,60496d3990d324547105f959,5,3,2,4,0.4,5.4,2.9,4,1,0.768,4,259
RedPeppermint,5e9dd814910d621387801b01,4,1,3,2,1.95,5.92,3.94,2,1,1.235,3,102
RicardoCoelho8,6014314ae378481403f01e86,3,3,3,4,0.65,2,1.32,4,1,-0.268,3,896
RickyLB,6145dddfa6fcfd396e1f4f1a,4,2,3,2,1.63,6.75,4.19,1,1,0.072,1,256
ricxtreme,605c984fb45a5c4f390a8c6b,4,4,4,4,2.52,5.48,4,5,1,0.254,4,1645
ritamont,60f5a332d13bb868d7724c52,4,1,1,2,2.08,4.9,3.49,1,1,-0.031,2,247
rqlmarim,603e4fff74df2edecbeb21a3,5,3,3,3,4.2,5.35,4.78,4,1,0.184,4,1
Ruhdyy,60199014a4f7250bea248b6d,5,4,4,3,0.38,3.1,1.74,3,1,0.356,2,215
ruiipereiraa,5ebc3cc7adb5e706b8021deb,4,3,2,4,0.45,2.1,1.27,1,1,-0.217,4,932
ruipedro3,5ef36b13c358120b8508ab5d,4,4,4,3,1.9,5.35,3.63,2,1,0.335,2,628
salvatore9,613d091096ca434d703f77c5,5,4,5,2,2.47,5.23,3.85,5,1,-0.159,5,395
sarafdelgado,5c7c3909042bf900012ab4d1,4,4,2,2,4.15,4.35,4.25,4,1,0.148,3,147
saturnzbarzs,60a44015d0ff9f3d81a1a1c8,4,3,2,3,1.9,7.1,4.5,5,1,0.301,5,572
silvawestcoast,6134fe6f036b9de4fb216cb2,5,4,2,2,0.7,6.78,3.74,4,1,-0.321,4,351
sneakysoup,5c0fde85d86a170001faa55a,4,4,2,3,2.52,4.28,3.4,5,1,-0.542,5,152
SofiiFreitas,609e866bea124d8bae2e1ce8,4,3,2,2,2.38,6.88,4.62,3,1,-0.098,4,79
Solk,612ccc537fd00ae8b3e8b95f,4,3,4,2,1.2,5.43,3.31,4,1,0.295,4,32
SunshineT93,5f8f1d38e25d2b1306f8e554,4,2,1,2,1.13,3.35,2.24,2,1,0.733,3,68
TheMusicWeirdo,61720e04849f1568c2f3e999,4,2,3,2,0.47,3.58,2.02,5,1,-0.221,5,67
Theossi2000,6024c1edf9b0e11f13c59cbd,4,4,4,4,3.92,5.75,4.84,5,1,-0.341,5,1230
tiagofcneves,612820047346933da8342f74,4,3,3,2,0.2,4.95,2.58,5,1,-0.55,5,10
tommyjarvis,5dcbea3588381e87f60cb202,2,3,1,2,2.15,5.2,3.68,2,1,-0.487,4,88
user112553,5d39dd63c49dae00016065c7,4,4,4,4,1.48,6.55,4.01,5,1,-0.074,5,886
valxros,6082f09379b513197ffeb54e,4,3,4,2,0.48,5.33,2.9,5,1,-0.44,3,85
vampiregrave,5d8346167ed176001888204d,4,1,1,2,3.2,6.73,4.96,1,1,-0.251,4,79
VeroBerardi,5c39af407aa30a0001ffac91,5,4,4,2,3.88,5,4.44,1,1,0.294,1,264
versilvia,5ea718879d28c80bf38bcb7f,4,3,2,2,3.57,6.08,4.83,3,1,0.456,3,1
Vittoria,611cf2fd04c64ae9781b55e5,4,2,2,2,2.98,6,4.49,3,1,0.494,3,105
vrnk98,5bef1e56c19fcd0001cdf4c7,4,3,4,2,0.23,8.07,4.15,4,1,0.59,4,76
