session_id,PROLIFIC_PID,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex,Student Status
626fe6419bf12656d060a1f9,609a7d5287ca8fb83e0780d4,APPROVED,2022-05-02 14:10:10.545000,2022-05-02 14:12:53.577000,163.032,20,142,2,100,2022-05-02 14:26:03.135000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male,Yes
626fe643c5c470ba602b30f8,615b6abb6e03836881dc99d8,APPROVED,2022-05-02 14:10:15.191000,2022-05-02 14:12:26.581000,131.39,25,105,2,99,2022-05-02 14:26:13.821000,7ED80400,Italy,Italy,Part-Time,Italian,"Spanish, Italian, English, French",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female,Yes
626fe643fe74a398306ce0f6,60e5e98326d94f93738053c5,RETURNED,2022-05-02 14:10:11.403000,,236007.876893,20,86,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe644465d9b3684ebc435,5e90a8363f920e3bda6b5068,APPROVED,2022-05-02 14:10:17.351000,2022-05-02 14:14:18.080000,240.729,21,292,1,100,2022-05-02 14:26:20.216000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626fe644d1e2c920ef386079,5acc65f668b65b00018db322,APPROVED,2022-05-02 14:10:21.092000,2022-05-02 14:13:31.344000,190.252,42,77,0,100,2022-05-02 14:26:40.577000,7ED80400,Spain,Spain,Part-Time,Spanish,"English, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female,No
626fe645682c93d9328aef36,610d97bf0ee9babdb89986ea,APPROVED,2022-05-02 14:10:15.636000,2022-05-02 14:12:30.131000,134.495,20,89,1,100,2022-05-02 14:26:15.277000,7ED80400,Spain,Spain,Part-Time,Basque,"Basque, English, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Spain,Female,Yes
626fe645c4e4d6c00276064d,60fd5adad03767cff6dddda8,APPROVED,2022-05-02 14:10:13.791000,2022-05-02 14:12:19.380000,125.589,21,130,0,100,2022-05-02 14:26:05.077000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626fe645e852351d711b0505,5be1f07a16fe17000106bcd1,RETURNED,2022-05-02 14:10:13.361000,,236005.984836,19,111,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe646794af54e30391f87,5e8783b0fde5153fbd9dca43,APPROVED,2022-05-02 14:10:24.913000,2022-05-02 14:17:29.634000,424.721,23,382,2,100,2022-05-02 14:26:49.202000,7ED80400,Italy,Italy,Other,Italian,"English, Italian",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female,Yes
626fe6475c3a0ccc40976cf2,60aabff11bad269f664ccbc7,APPROVED,2022-05-02 14:10:18.383000,2022-05-02 14:12:37.512000,139.129,24,81,0,100,2022-05-02 14:26:24.832000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female,No
