genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
acidcore	hardcore	6hvpi0YyvmOPMEWrPMTKRM	dVtz8BurkB8	Mr.Gasmask	Urtekram	FR2W01900014	28	23796	https://www.youtube.com/watch?v=dVtz8BurkB8
acidcore	hardcore	1g5pMbXbysLukq8V2QhtR0	1-Jgyh5zzNA	Draver	Paranoid	FXQ692100239	26	14843	https://www.youtube.com/watch?v=1-Jgyh5zzNA
acidcore	hardcore	4OEFEWKjh9DC2fMmiarojk	5sS7McC-LJw	El Desperado	Dégustation De Basses	QZFZ41953510	35	34015	https://www.youtube.com/watch?v=5sS7McC-LJw
acidcore	hardcore	6kPV3oxxiqLzI9pef5l2G4	vf4Ui0ypJqY	Mr.Gasmask,Freak Factory	Chiaroscuro - Freak Factory Remix	FR2W01900016	17	6949	https://www.youtube.com/watch?v=vf4Ui0ypJqY
acidcore	hardcore	0nuVWEfx1a0oegVZhQENaq	80ORhp05Iig	Sköne	Fin de ce qui est relatif à la nature, au temps, à la conscience et aux perspectives (2h44)	QZES92113476	40	67361	https://www.youtube.com/watch?v=80ORhp05Iig
acidcore	hardcore	0d5YxDApLSMKtO3mS88ihY	SzDYvETVIbA	Tikishan	Sucre imbibé	FR9W11901922	32	51707	https://www.youtube.com/watch?v=SzDYvETVIbA
acidcore	hardcore	0HWZBmTnMGBwjGOZT6tpSG	mnU52CE5Z5U	La Kajofol	Driftin' Games	FRX202100160	27	2728	https://www.youtube.com/watch?v=mnU52CE5Z5U
acidcore	hardcore	6Z20UqrSQINV6bmvM7UN3d	4kTZ_9ISDJk	Arkaiis	Karma bitch	CH6541819230	15	3398	https://www.youtube.com/watch?v=4kTZ_9ISDJk
acidcore	hardcore	1M8vYFHPvJW4tibKDw8zpd	7K-tvkqTLPQ	Pitch Mad Attak	Condor	FXQ692100400	24	3431	https://www.youtube.com/watch?v=7K-tvkqTLPQ
acousmatic	electroacoustic	1zOqrZCX1qyzyIlhMXALH2	vb3Sn8g1o_Y	Iannis Xenakis,Luxembourg Philharmonic Orchestra,Arturo Tamayo	Jonchaies	FRY460100660	27	3033	https://www.youtube.com/watch?v=vb3Sn8g1o_Y
acousmatic	electroacoustic	2PP29Hvt6jJP6xesK5xc07	j5tjuKSx7BI	Karlheinz Stockhausen,Xenia Pestova,Pascal Meyer,Jan Panis	Mantra, Work No. 32: bars 492-529	HKI191006617	12	38491	https://www.youtube.com/watch?v=j5tjuKSx7BI
acousmatic	electroacoustic	0SVVyqcIOPrwZ8yZe2OHzc	OCN9jmWDyJc	Raymond Scott	Sleepy Time	NLB559700852	31	21969	https://www.youtube.com/watch?v=OCN9jmWDyJc
afro house	house	3ZSA9uWHN3iPK6Q3QxPOZ9	3zuVmyzpU40	Vanco,Black Motion,Xelimpilo	Memeza	ZA4MG2100009	32	8076	https://www.youtube.com/watch?v=3zuVmyzpU40
afro house	house	71ENfRzxznJnPYajlrj2Ko	lcr12oir268	Tekniq	Amasiko	USLZJ2127142	32	34436	https://www.youtube.com/watch?v=lcr12oir268
afro house	house	41l8fc7xiJWEqz9xooz3Ak	Whg-4i1K0ZE	Leo Guardo,Tabia	Mbokodo [Mixed]	UKBJZ2100026	40	3729	https://www.youtube.com/watch?v=Whg-4i1K0ZE
afro house	house	5QuLeFu996bthr8tcHwr1w	Y7PvujUCvSo	Thandi Draai,Candy Man	Out Of Africa [Mixed]	DEBE72100703	37	4480	https://www.youtube.com/watch?v=Y7PvujUCvSo
