genre	maingenre	t_id	artist_name	track_name	ISRC	pop
ambient	ambient	1tlOW6lZKFTSk7jaSIE0Eh	Rudy Adrian	Shelter From The Storm	HKC830004703	39
ambient	ambient	2d2a2ekknp3UrDEBXcHx8N	Alpha Wave Movement	Mapping the Heavens	uscgh0717893	35
ambient	ambient	6Py6ERVoAbMCwQhTatlluh	Jan Jelinek	Tendency	DELA21100117	40
ambient	ambient	2YX1JF6dLBcYr3lAGB351Y	Jeff Pearce	On Silent Paths	ushm91336644	35
ambient	ambient	2IhNMQ2aEeA0Kxh9Uw3tdb	David Helpling,Jon Jenkins	Sun Racer	USSP51390083	36
ambient	ambient	2tfILRi4mc9oCmYGIZrO1l	Alio Die	Horas Tibi Serenas	USI4R1012966	20
ambient	ambient	0DuKfzPUyHNS92DuruNqpK	Kaitlyn Aurelia Smith	Stratus	US78L1614507	45
ambient	ambient	2BQplCyfCnTV5RvDYBz9UB	Mary Lattimore	Sometimes He's In My Dreams	US2J72007004	49
ambient	ambient	2CxBaNFCjYVi0Iv2PpeZDG	Kara-Lis Coverdale	Moments In Love	USA2Z1710790	43
ambient	ambient	3Bp2uDUuNqTN75L24ajiJt	Pausal	Lapsing	QZHN92163185	35
ambient	ambient	47H54R4owpPvkummlApq88	Machinefabriek	Zucht 2	QM2PV1526477	40
ambient	ambient	5oZnXy3f2qUIHx14zXDalD	Library Tapes	The Return	SE5ZV2005607	42
ambient	ambient	3P2BVkLWRakevBZtgMfImN	Thom Brennan	Afterglow	ushm20505359	34
ambient	ambient	16fZFSlV2VIDcY77mVtUMI	Oval	Do While ⌘X	USTJ20303607	42
ambient	ambient	4AAhqh1Y8OYmhhWZboXO0G	Richard Bone	Unknown Waters	ushm80851324	31
ambient	ambient	0SQNWusYCDQGj7yh6720x3	Bvdub	With Broken Wings and Giants Tall	QZNWU2159308	33
ambient	ambient	7dHMwweyAAzdK1d5FFHAPS	Olan Mill	Pine	USA4D1067205	39
ambient	ambient	54WM1tssXU7igRwI3Z7nsM	Klaus Schulze	Ruins - Bonustrack	DEA450600940	50
ambient	ambient	5YfTPW6DEdcLJEFdYXNxoS	Vladislav Delay	Ranta - 2020 Remaster	DEX262000002	30
ambient	ambient	1vgSaC0BPlL6LEm4Xsx59J	Brian Eno	An Ending (Ascent) - Remastered 2005	GBAAA0500103	61
ambient	ambient	4KvUvF2p3dwxYCbq4LswDA	Darshan Ambient	The Dreamer Slept But Did Not Dream	US4HD1000012	37
ambient	ambient	11sC0rKY4O7CYfEk551Ee5	Tomaga	Intimate Immensity	FR10S2133802	47
ambient	ambient	5wxPCweNdp48S1mAbER3Z9	Visible Cloaks	Arcoíris	US6PQ2100125	32
ambient	ambient	56qj6FXaTfdFXpYhRZGyGc	Ishq,Yunomi	Fire Flys	QM7281410797	37
ambient	ambient	7JSaagEtP07BPxV9MaGKlE	Meg Bowles	Glacial Dawn	uscgh1164994	35
ambient	ambient	2RWxRXIiwbcKEaplXoplUv	Aix Em Klemm	The Girl With the Flesh Colored Crayon	USI4R0401866	39
ambient	ambient	54QFGiOthVqXeJtiXdlLYa	Patrick O'Hearn	Beyond This Moment	usejb0630005	48
ambient	ambient	2d7FoK7amJiLOk6S0IT8AS	Felicia Atkinson,Jefre Cantu-Ledesma	ME	DEX261600110	32
ambient	ambient	7Bmly3CiAzTDR6FPK3TIXF	Ian Boddy,Markus Reuter	Crescent	GBJJM1300022	14
ambient	ambient	69IHiAwsJpUbkaF5WwBoQY	Phillip Wilkerson	The Edge of Being	QZFFG2000204	33
ambient	ambient	2OqsnTNCy43fwWAVmkiJj8	Cluster	Caramel	DEN120407070	44
ambient	ambient	5z90zcaBAvrZmCeOg8ASs3	Mathias Grassow	Fading Light	ushm21396502	31
ambient	ambient	476JhNFrzRHoJXfYNBbHgq	Pete Namlook	Eternal Spirit - Northern Mix	QZDA82194979	13
ambient	ambient	78xNbv5I6RZKqEvuHt3x8N	The Black Dog	Chesh	GBBPW9500019	11
ambient	ambient	2kt76GkaMt42ruglOBdkXM	Matt Borghi	Ambient Guitar - Sky Gray	QMFME2195019	36
ambient	ambient	799Rn8baGwbIwllfDw2yl6	Labradford	P	USI4R0402112	40
ambient	ambient	0mGmHFmfm0onqCLpNsNuxc	Stellardrone	Eternity	TCABO1396091	43
ambient	ambient	35YBpp7aLaH9wJd1QuQF3i	Nobuto Suda	Nine	DEBL60539412	41
ambient	ambient	0GNOV2aEFqS3qOXfQEhEuq	Oneohtrix Point Never,Alex G	Babylon	GBBPW1800184	51
ambient	ambient	3dX87nGdE9AdBbFPBN6JyD	Ben Lukas Boysen	Only in the Dark	GBWZD1608401	43
ambient	ambient	4iJFuDgYbssGiKSZtWYyLl	Oophoi	Darklands	usx9p1138693	12
ambient	ambient	1E3bvx82Sy1im1UyWX1uel	vidnaObmana	Night-Blooming	USHK99618504	23
ambient	ambient	7Cf1HvOY9EsBCrcjYdAK6u	Belong	I Never Lose. Never Really	US22N0503101	34
ambient	ambient	6zYHwIlDPraiG9UTg4y0oe	Peter Broderick	Eyes Closed And Traveling	SEYTP1606203	57
ambient	ambient	23oCCiqAEjS3js1L0Co3VU	Numina,Zero Ohms	Night of the Falling Planets	USSP51590011	22
ambient	ambient	7DxrpQ64RjENyP4j8z8p0s	Arovane	Tokyo Ghost Stories	DEX700400052	28
ambient	ambient	6LdUNg6xTMeVApgd8Ko0e2	Spacecraft	Earthtime Tapestry	uscgh0520204	29
ambient dub techno	ambient	3t77AfBKRaeOFd2NDHVduK	Brickman	Zero Gravity	DEH741503623	32
ambient dub techno	ambient	2KkIKY9UQfSi1TQizmb8A6	Biodub	Reminder	DEU671101769	29
ambient dub techno	ambient	0DxV8iMQuWxo8tbyK4g2w3	Martin Nonstatic	Granite	USA2P1547191	23
ambient dub techno	ambient	75ftDJyjmx3TxZuy2C0tZy	Ohrwert	Asphere	FR9W11300901	21
ambient dub techno	ambient	0YaOXel67d5gAEcsv3ATIb	Textural Being	Algebra	DEH741208785	19
ambient dub techno	ambient	5rBZ9qVHwrgXMhwl37gT9g	Dublicator	Souldance	US83Z1656115	33
ambient dub techno	ambient	6qI5T9ZRpr7G2tOtUSJIq2	Overcast Sound	Listing, Sinking	DEH741643048	21
ambient dub techno	ambient	67mofEjgswYDvuLPpEnjwQ	Slownoise	Dark Matters	DEH741202191	19
ambient dub techno	ambient	06SUVGqplyySIqWCweU7Io	Federsen,Tomas Rubeck	Dewpoint - Tomas Rubeck Remix	UK7YS1400041	27
ambient dub techno	ambient	4UHd0jryeAOCQrCCZ1mtLm	Subforms	Black Swans	DEH741109410	13
ambient dub techno	ambient	4bEqr1ms0hume13hvnQD5E	Sraunus	Eugenia	NLCK41048614	10
ambient dub techno	ambient	7eQeFcw4zG127TfI0ANgdr	Kogyo,Giuliano Rodrigues	Across The Border - Giuliano Rodrigues Remix	ITH641483303	9
ambient dub techno	ambient	5RX8nJf46pKFafa2Mp4My1	Giriu Dvasios	Medis	DEH742158646	33
ambient dub techno	ambient	5UGpYyKnwf3mqcabBWgWLL	Fingers in the Noise	Plenitude	USA2P1343308	13
ambient dub techno	ambient	7AiaYY58H8MoXmSL7XtWfI	Zoltan Solomon	Gesichtslose Frau	DEQD71200010	17
ambient dub techno	ambient	1m4d13kkFoCrtzEv9UfweY	Submersion	Driven	QZ5FN1989851	1
ambient dub techno	ambient	42kugeQ046ca72fb6jNrSU	Sowing Paranoia	Primary Mirror	GBKQU1792207	0
ambient dub techno	ambient	0lhroAThqrh1dgm0AV9PCw	Madutec	Moon Bay - Original Mix	USQY51255644	5
ambient dub techno	ambient	6rAPeDAMQFkLXCzAyZnbom	Shinsuke Matsumoto	aqua	JPM521100051	24
ambient dub techno	ambient	66TBQM9uYemDkqn3bExTd5	Andrea Porcu,Aepiel	Million Ways For Us - Aepiel Remix	USLZJ1370766	9
ambient dub techno	ambient	3mc0DoUauIe3eCHTBdbdzW	Syncronize	HB002	DEH741112663	10
ambient dub techno	ambient	7Gnags5gl4QbEUVhH6GpG0	Ocralab	Iridium - Dublicator Remix	FR6V80886413	24
ambient dub techno	ambient	3c2jXCxdXZLY3HXzdzrmES	Izzat Man	Autumn - Original Mix	US83Z1327851	17
ambient dub techno	ambient	7m9iRyVmaROH5zhtMr9acv	Decoside	Reload 4 - Original Mix	ITCB61220005	0
ambient dub techno	ambient	1xdjRNwhFYbJQtjHyR9kdu	Randoman	Chaocity	DEDL81200062	2
ambient dub techno	ambient	3Dg9oNsbO5nanhJOQ9nV7j	Upwellings	First Storm - Original Mix	US83Z1478283	31
ambient dub techno	ambient	4UXiUw9nTHQQzt12tuiq47	Schwanbeck,Quantec	I Don't Understand - Quantec Remix	DEU670900561	2
ambient dub techno	ambient	1uas9zdmtl0mmMbiTCyRlZ	Inn-R	M66	FR6V81251108	9
ambient dub techno	ambient	7kIwRyXqiePIcEQg5pSM8C	Leo Cavallo	Null 01 - Original	ESA041002148	5
ambient dub techno	ambient	6huXmOiGjCXLanvB7Afn05	Atabey	Diastole Systole	DEZ651323233	5
ambient dub techno	ambient	0ksf2C20VKQT5BbtU63fv4	Mr. Cloudy	May Purpose	BGA471703551	16
ambient dub techno	ambient	2CrnES2NeRepRVO3Xgemsk	D_E	Nightdrive - Normal Edit	DEAR41230123	0
ambient dub techno	ambient	2HcO2BlGH0LQUJMzzwIBV3	Nikosf.	A Woman's Nature - Original Mix	US83Z1466431	31
ambient dub techno	ambient	2tAjhaAe8aE89phbGqBiuQ	Zzzzra	L'entraide - Variation	DEH741500775	25
ambient dub techno	ambient	3MQQfenntbTKbT0FQTl6HY	Axs	Farside	USHM81004202	4
ambient dub techno	ambient	4t46vHhfYdFSD2cDS08nHn	Sublime Porte	Observer	USHM81004210	3
ambient dub techno	ambient	63dl46DUNJ6S9uuvS5If4O	Random Walkers	Coffee With Rum	DEH741308647	2
ambient dub techno	ambient	6AQCOXUWAaB7rSq0Ms2l4U	Sonitus Eco,Emanuele Pertoldi	Coffee & Dub - Original Mix	GBKQU1318900	4
ambient dub techno	ambient	7sE7APQX9uG38IcsWEkZmP	Purl	Melicent	US83Z2018882	18
ambient dub techno	ambient	5ORj8f3vZE4c20S7dFovOT	Contemporary Vision	Dot	QMQL31200100	1
ambient dub techno	ambient	1rtpMhbZS8LXCk8F4Cb5Vx	Abstract Ballet	Binary Language	ESA041102971	0
ambient dub techno	ambient	1eCSqPbhxN9xCofuBmA6ZW	Session View	Boundless - Reworked	DEDL81101713	2
ambient dub techno	ambient	0KILF18O3v1akjFYqtJs2N	CV	Get Full of the Gospel	uscgj1317754	0
ambient dub techno	ambient	3qcqDHsHD9Vs95auRawWSA	Mr Zu	Dreaming Underwater	DEAR41040433	2
ambient dub techno	ambient	1VAOPHs0E1bcCJB0GSFTPc	The Marx Trukker	Serum	USHM81004198	4
ambient dub techno	ambient	2AAQXEyux9QXBBUdtgIhmx	Kristoban	Shapes	DEH741500085	2
ambient dub techno	ambient	23txCEDioXodMO7P5Hs8Ol	Näköradiomies	Teardrops	DEFC71600027	1
ambient dub techno	ambient	0SYuw8Oy3gNoJTtzIoP2pq	Sen	Satnav	DEFC70900021	1
ambient dub techno	ambient	3khYqS9prnZdVpJfOlIfa3	DML	Sendling Ll	DEZ651104168	2
