genre,maingenre,spotify_uri
neurofunk,drum and bass,https://open.spotify.com/playlist/4Pbi9IXKK2lD9VnHO2wGxO
sambass,drum and bass,https://open.spotify.com/playlist/3rtVTR62F5JRdaWabccLGH
electroacoustic composition,electroacoustic,https://open.spotify.com/playlist/03VBkbiDhkS0EVoFoKSe06
acousmatic,electroacoustic,https://open.spotify.com/playlist/3OrDWwOHM2iQCwi5vIxlMJ
electroacoustic improvisation,electroacoustic,https://open.spotify.com/playlist/2jGo6vr6swUBugWe7n2bzj
musique concrete,electroacoustic,https://open.spotify.com/playlist/1G3qplfcVYzG0Z4XRASdks
electronica,electronica,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx
folktronica,electronica,https://open.spotify.com/playlist/6JPd0xG3fBmhUSlxsTfPyW
jazztronica,electronica,https://open.spotify.com/playlist/69OpOkQ8dkxZGn4If6ry6G
livetronica,electronica,https://open.spotify.com/playlist/7J9GDUnv2JMOvNK6xCKCE1
berlin school,electronica,https://open.spotify.com/playlist/2jgy57TEf9gpe5wRZ4cPDF
jungle,jungle,https://open.spotify.com/playlist/35Ezi6bCni1zwVOW2rOWDj
ragga jungle,jungle,https://open.spotify.com/playlist/1w8TCr2tpXhXXHLmYS5gkv
hardcore,hardcore,https://open.spotify.com/playlist/4H6GLDvB0kzoCyavxb1Z4B
acidcore,hardcore,https://open.spotify.com/playlist/23TcHEHll7Ds78hkaiohPx
breakcore,hardcore,https://open.spotify.com/playlist/3OBvO6hmsS5BsYbciDddW7
digital hardcore,hardcore,https://open.spotify.com/playlist/2fqbzU1sBBZ3gW61Q7qYhp
doomcore,hardcore,https://open.spotify.com/playlist/3OFavLb9tW7gAThaWdthHx
frenchcore,hardcore,https://open.spotify.com/playlist/3b9YnVCg1sEUoXlRwQvBV2
happy hardcore,hardcore,https://open.spotify.com/playlist/17TwTPITOWP0Ep9joASCrm
industrial hardcore,hardcore,https://open.spotify.com/playlist/4SuEoxbyTWZvBG1cmnp2mq
j-core,hardcore,https://open.spotify.com/playlist/6EyM9BeEm0vZvSkQyGaLkN
makina,hardcore,https://open.spotify.com/playlist/0SIod8gUiCyiC8HzToRf2c
speedcore,hardcore,https://open.spotify.com/playlist/0PScKDOlpRri7jiwVxB1qQ
terrorcore,hardcore,https://open.spotify.com/playlist/0dsJzRtGo230e23L34hllR
trancecore,hardcore,https://open.spotify.com/playlist/3GL4HNVOg9IqD5jxVpSRp7
hardstyle,hardstyle,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb
euphoric hardstyle,hardstyle,https://open.spotify.com/playlist/7kUeKVMrA3eMZNP4p8HKVi
jumpstyle,hardstyle,https://open.spotify.com/playlist/0YLPrzWklBgy152fwVL0iT
rawstyle,hardstyle,https://open.spotify.com/playlist/1EICh4qNolTgW5VnUDpXg7
hauntology,hauntology,https://open.spotify.com/playlist/7yKED2Klt77liZOLVAwzma
chillwave,hauntology,https://open.spotify.com/playlist/5pDD5tz9aQULzowpuKMSep
synthwave,hauntology,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53
darksynth,hauntology,https://open.spotify.com/playlist/7mr4rvyCkgD2fuNdPGYQw9
sovietwave,hauntology,https://open.spotify.com/playlist/4WQXurIqquq1yIaIbxWsSa
vaporwave,hauntology,https://open.spotify.com/playlist/6R9NIMDGt0sK7k1EggBAhj
future funk,hauntology,https://open.spotify.com/playlist/7t0fe3aPR0OoVQQi6VDkeC
hardvapour,hauntology,https://open.spotify.com/playlist/3uxKTCL9tzfBk4waAP3u9F
house,house,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0
acid house,house,https://open.spotify.com/playlist/17buGP6jTSgqYoV4NwkMdX
afro house,house,https://open.spotify.com/playlist/6JBXZSjISi9ugN1Q0Ku9cN
amapiano,house,https://open.spotify.com/playlist/7xgfzFRkpWzI55LljwwuhO
gqom,house,https://open.spotify.com/playlist/0V6rAUFWyVrTdxt701eZDh
kwaito,house,https://open.spotify.com/playlist/20RJLH7bkXLWkHdvrdcszw
ambient house,house,https://open.spotify.com/playlist/6nwKOBp5s1ESz8zie6WBUf
bass house,house,https://open.spotify.com/playlist/5ITCoz5fDeGlbKyNmwKXoG
brazilian bass,house,https://open.spotify.com/playlist/1rhRPl3CJrszlIzllhvW25
slap house,house,https://open.spotify.com/playlist/1TAxbbKCs6rlEQcrdVWYmW
chicago house,house,https://open.spotify.com/playlist/6Wel9lJLvOpiZHBJNF19jn
deep house,house,https://open.spotify.com/playlist/4ZRv1fFjjwpgAcosytT3bd
disco house,house,https://open.spotify.com/playlist/7tW3eTmzzYNNyEmi9qHdQC
diva house,house,https://open.spotify.com/playlist/0kAFZCbHemKb8RxZhDPZbv
electro house,house,https://open.spotify.com/playlist/4luNnGhISZdURbFcCl2dB6
complextro,house,https://open.spotify.com/playlist/3N0R1GcrhHAvCmSSMJumJT
dutch house,house,https://open.spotify.com/playlist/2A2qSpDa4K8gD55D7sDJe7
fidget house,house,https://open.spotify.com/playlist/6vat2V2zBVw4cVQyp62EBQ
melbourne bounce,house,https://open.spotify.com/playlist/5juwTItf3H3eQuzrGiKwf9
electro swing,house,https://open.spotify.com/playlist/5oDNHd53EGh5BoiWGYIqH0
deep euro house,house,https://open.spotify.com/playlist/36ElXYG8xeWVQFuZr0Puvy
funky house,house,https://open.spotify.com/playlist/1ZwOZItEvdtWZuTVFQfwJs
future house,house,https://open.spotify.com/playlist/2u6y2dDw8lKwW389jYEMoN
garage house,house,https://open.spotify.com/playlist/1QOMMQeQ9X79U3JtRZXy57
ghettotech,house,https://open.spotify.com/playlist/0zturCsng8jMo3Pf2EXufv
italo house,house,https://open.spotify.com/playlist/2MozR9FnRi9Sol52JfVvdH
jazz house,house,https://open.spotify.com/playlist/4L9GKyeqZOi5rHUoqDZd6z
latin house,house,https://open.spotify.com/playlist/4RAw5T49Kgd7BdsFsWe4qS
microhouse,house,https://open.spotify.com/playlist/6FbDQuTcGT0IoZCtsbCISv
moombahton,house,https://open.spotify.com/playlist/7iszolrnuUqc01LQaBqqII
outsider house,house,https://open.spotify.com/playlist/2B6gPUsTqEgz2W7W6gEOt3
progressive house,house,https://open.spotify.com/playlist/3ApHTzZrOMqtDhnyiBSSci
soulful house,house,https://open.spotify.com/playlist/5KloWVVDflJ495FWRbh0QE
tech house,house,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr
tribal house,house,https://open.spotify.com/playlist/28k2EefJC3hIfubtmcQrIW
tropical house,house,https://open.spotify.com/playlist/5Z4GsFxPRJiN9Qme2P9q6H
hard bass,house,https://open.spotify.com/playlist/4IDhGicVEt669oWrlCWNUu
intelligent dance music,IDM,https://open.spotify.com/playlist/3P9lEX8RzKkD3hNVvnoMc5
drill and bass,IDM,https://open.spotify.com/playlist/5GJ4YKR60brIy8f4NECcHG
glitch,IDM,https://open.spotify.com/playlist/27smuYGRZZl9q0BCwda8en
glitch hop,IDM,https://open.spotify.com/playlist/3Cy2LdkFDxcwVd6wMWsGll
japanoise,noise,https://open.spotify.com/playlist/5EVoGPRq1fYIcLhFCUiydQ
power electronics,noise,https://open.spotify.com/playlist/5kAulE1JAusA4SlfP0OjYG
death industrial,noise,https://open.spotify.com/playlist/5Wh6LBCI5BX6VVLfkcJ1g6
power noise,noise,https://open.spotify.com/playlist/23j3NLoqFN0Z7z3rsCZH7Q
plunderphonics,plunderphonics,https://open.spotify.com/playlist/7mknhkyxBSQoGbmO6STTog
techno,techno,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy
acid techno,techno,https://open.spotify.com/playlist/1f0ODk7IQYTRx3PxZlCeAy
ambient techno,techno,https://open.spotify.com/playlist/4K8cqoXccxo7fPmBEqVKQm
berlin minimal techno,techno,https://open.spotify.com/playlist/77bvnztwYvanR3TJq6JSw8
bleep techno,techno,https://open.spotify.com/playlist/74l4cXfulumPoQ7EyasgY8
detroit techno,techno,https://open.spotify.com/playlist/6eKMGlc0PX3mNLAJOFUDUB
dub techno,techno,https://open.spotify.com/playlist/13Kst5O4iuiTXwJcbBTJ26
hard techno,techno,https://open.spotify.com/playlist/4Np94khIq8LGHOfmysON8v
raggatek,techno,https://open.spotify.com/playlist/4UPY78QrXrmlSAE722apfN
schranz,techno,https://open.spotify.com/playlist/0oVmOYzfm6lZehEnLSCCkj
industrial techno,techno,https://open.spotify.com/playlist/4dKxJnBaUEkEarU8qT0AMN
minimal techno,techno,https://open.spotify.com/playlist/68uxlFAvnITCyQs0U8qr6n
trance,trance,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z
acid trance,trance,https://open.spotify.com/playlist/0rSDQ760FMUfBOFSAlnC8M
dream trance,trance,https://open.spotify.com/playlist/0m1icO5Ea5t8btM4xQ7mHT
hands up,trance,https://open.spotify.com/playlist/29l2v5sGaKTBwZd9I74CfA
hard trance,trance,https://open.spotify.com/playlist/3S1y29gI6Wpchw9YCBHXM9
goa trance,trance,https://open.spotify.com/playlist/7iuklwaJAAJFkN7FEGPDvo
nitzhonot,trance,https://open.spotify.com/playlist/4LfTA71lypx7XfDpvMZXae
progressive trance,trance,https://open.spotify.com/playlist/3LfgRDV6HceI9exDCtTJo3
psychedelic trance,trance,https://open.spotify.com/playlist/2xaiaEMr3drIoAsn397mtX
dark psytrance,trance,https://open.spotify.com/playlist/4p7LvTTcCt83rvC5tXPVnR
full on,trance,https://open.spotify.com/playlist/1PHIl1Zi6JSVHTTgXVVTFa
progressive psytrance,trance,https://open.spotify.com/playlist/4rmUSS4GQxpHjuZPf6eiSz
suomisaundi,trance,https://open.spotify.com/playlist/2oDlfDr6DS4hmKtIkLjdTf
tech trance,trance,https://open.spotify.com/playlist/2MYwy50KqxrZV0b1kLuI8O
uplifting trance,trance,https://open.spotify.com/playlist/2bV5j3UH5k9rMxJywzTYKu
vocal trance,trance,https://open.spotify.com/playlist/4pkYvU2Gr39rQZ8JWzbdyc
uk garage,garage,https://open.spotify.com/playlist/62PxpGVt45pYZ8O66VVZWP
bassline,garage,https://open.spotify.com/playlist/3Lp89wmns5SSt3U8wYWcK3
dubstep,garage,https://open.spotify.com/playlist/0ZYFF9tPuPq2YNMRNhQZJt
brostep,garage,https://open.spotify.com/playlist/6dvgLyeXG3HLGqtMa8wAX0
chillstep,garage,https://open.spotify.com/playlist/22pjJtfW7sA4PiaruUB5yN
future garage,garage,https://open.spotify.com/playlist/62T9WUAB2E7Xw6PmHRSlaQ
grime,garage,https://open.spotify.com/playlist/6tpwcBIh10DbSUksx3mRB5
speed garage,garage,https://open.spotify.com/playlist/74tAe4b6IqbWoEZPusHk5d
uk funky,garage,https://open.spotify.com/playlist/4lK54lu5nxD3iMlCXMIQwx
wonky,garage,https://open.spotify.com/playlist/6GZZzXWc7QfecxM85804b7
chiptune,videogame ,https://open.spotify.com/playlist/1LFNDgI96e297dxed2dZZa
bitpop,videogame ,https://open.spotify.com/playlist/5QV9DIzmUFiUiyBGWWAuGc
skweee,videogame ,https://open.spotify.com/playlist/35woouyNDBZLI0bKnZmE3s
nintendocore,videogame ,https://open.spotify.com/playlist/0oSBswMPV792Pth26EyI7N
