maingenre,genre,count,mean,std,min,q1,q2,q3,max
breakbeat,nu skool breaks,2.0,21.0,9.899494936611665,14.0,17.5,21.0,24.5,28.0,
breakbeat,progressive breaks,10.0,17.2,4.1041983924323695,9.0,15.0,17.5,19.5,24.0,
chill out,chill out,1.0,21.0,"""""",21.0,21.0,21.0,21.0,21.0,
chill out,downtempo,10.0,37.3,2.4060109910158114,34.0,35.25,37.0,39.5,41.0,
chill out,psydub,10.0,27.4,8.0718991294215,15.0,23.0,27.5,32.5,39.0,
chill out,trip hop,7.0,36.857142857142854,3.7161167647860323,31.0,34.5,38.0,39.5,41.0,
disco,disco,3.0,28.666666666666668,15.307950004273378,11.0,24.0,37.0,37.5,38.0,
disco,hi-nrg,10.0,31.1,8.45182426067493,15.0,30.0,33.5,37.0,38.0,
disco,eurobeat,10.0,21.3,7.08754776585903,9.0,18.25,20.0,27.0,32.0,
disco,eurodance,3.0,37.666666666666664,5.773502691896258,31.0,36.0,41.0,41.0,41.0,
disco,italo dance,9.0,22.22222222222222,12.71591304014165,11.0,12.0,17.0,35.0,41.0,
disco,nu disco,10.0,29.3,9.393259994982218,14.0,24.5,30.5,37.25,40.0,
disco,post-disco,9.0,36.888888888888886,3.689323936863109,31.0,35.0,37.0,40.0,41.0,
disco,boogie,10.0,18.6,9.371351141762975,11.0,12.25,14.5,21.75,35.0,
disco,city pop,10.0,28.2,9.886017061149214,11.0,23.5,32.0,35.0,37.0,
drum and bass,drum and bass,10.0,34.8,4.61398839279954,27.0,30.75,36.5,37.0,41.0,
drum and bass,darkstep,8.0,18.125,8.724964183307574,9.0,11.5,16.0,23.0,32.0,
drum and bass,drumfunk,8.0,24.875,9.387491677759293,14.0,17.0,24.5,32.25,37.0,
drum and bass,atmospheric dnb,10.0,19.7,7.775317071062475,10.0,13.25,20.5,25.25,31.0,
drum and bass,jump up,10.0,29.6,8.720346578229815,9.0,27.75,32.0,34.5,39.0,
drum and bass,liquid funk,10.0,33.9,6.26187760269323,19.0,33.75,36.0,37.75,39.0,
drum and bass,neurofunk,10.0,25.2,9.953223933312596,12.0,15.5,26.5,32.25,40.0,
drum and bass,sambass,9.0,24.444444444444443,7.763876465901411,12.0,19.0,27.0,29.0,34.0,
electroacoustic,electroacoustic composition,4.0,17.5,10.214368964029708,9.0,11.25,14.5,20.75,32.0,
electroacoustic,musique concrete,9.0,18.88888888888889,7.865183475997945,11.0,13.0,17.0,22.0,36.0,
electroacoustic,acousmatic,3.0,23.333333333333332,10.016652800877813,12.0,19.5,27.0,29.0,31.0,
electroacoustic,electroacoustic improvisation,2.0,14.5,7.7781745930520225,9.0,11.75,14.5,17.25,20.0,
electronica,folktronica,10.0,30.6,8.514040691051981,16.0,24.5,34.0,36.5,40.0,
electronica,jazztronica,9.0,26.11111111111111,9.752492558885196,9.0,22.0,25.0,32.0,39.0,
electronica,livetronica,10.0,26.8,8.066391179868893,11.0,28.0,30.0,30.75,35.0,
electronica,berlin school,9.0,23.11111111111111,10.1912271641403,9.0,16.0,21.0,30.0,38.0,
jungle,jungle,9.0,20.88888888888889,8.130873945100312,11.0,12.0,22.0,27.0,34.0,
jungle,ragga jungle,7.0,19.714285714285715,4.715728494951256,15.0,16.5,19.0,21.0,29.0,
hardcore,hardcore,9.0,23.333333333333332,8.0,13.0,17.0,23.0,26.0,40.0,
hardcore,acidcore,10.0,26.1,8.198238293140246,15.0,18.75,26.5,31.0,40.0,
hardcore,breakcore,9.0,23.555555555555557,9.180292902613608,9.0,20.0,22.0,29.0,36.0,
hardcore,digital hardcore,8.0,18.25,10.964227547542313,10.0,10.75,11.5,25.5,38.0,
hardcore,doomcore,9.0,13.666666666666666,4.743416490252569,9.0,10.0,12.0,14.0,24.0,
hardcore,frenchcore,10.0,23.0,9.404490653110589,10.0,14.5,24.0,30.75,37.0,
hardcore,happy hardcore,10.0,24.5,9.606132300659707,9.0,16.5,29.0,30.75,35.0,
hardcore,industrial hardcore,9.0,22.22222222222222,8.95513508800646,11.0,15.0,22.0,29.0,34.0,
hardcore,j-core,9.0,28.22222222222222,7.886345442880653,16.0,22.0,32.0,33.0,37.0,
hardcore,makina,9.0,16.555555555555557,7.796010375684333,9.0,12.0,14.0,20.0,34.0,
hardcore,speedcore,10.0,25.8,8.854377448471462,16.0,18.0,25.0,30.5,41.0,
