ambient
ambient dub
dark ambient
ambient industrial
dungeon synth
isolationism
dreampunk
drone
illbient
new-age
andean new-age
neoclassical new-age
space music
reductionism
lowercase
onkyokei
bass music
footwork
future bass
kawaii future bass
jungle terror
slime punk
uk bass
wave
hardwave
breakbeat
acid breaks
baltimore club
jersey club
philly club
big beat
breakbeat hardcore
4-beat
darkcore
hardcore breaks
broken beat
florida breaks
nu skool breaks
progressive breaks
psychedelic breakbeat
chill-out
downtempo
psybient
psydub
trip hop
trip rock
disco
afro/cosmic music
electro-disco
hi-nrg
eurobeat
eurodance
italo dance
italo disco
spacesynth
space disco
eurodisco
nu-disco
post-disco
boogie
city pop
drum and bass
darkstep
drumfunk
drumstep
hardstep
intelligent drum and bass
artcore
atmospheric drum and bass
jazzstep
jump-up
clownstep
liquid funk
neurofunk
technoid
sambass
techstep
trancestep
dub
dub poetry
dubtronica
electroacoustic music
acousmatic music
electroacoustic improvisation
live electronics
musique concrète
soundscape
electronica
folktronica
jazztronica
laptronica
livetronica
progressive electronic
berlin school
kosmische musik
ethnic electronica / regional edm
asian underground
african electronic
afrobeats
azonto
coupé-décalé
kuduro
mahraganat
shangaan electro
budots
changa tuki
dancehall pop
funk carioca
funk ostentação
melodic funk
proibidão
rasteirinha
merenhouse
nortec
rabòday
rara tech
russ music
shamstep
tribal guarachero
worldbeat
manila sound
jungle
ragga jungle
hardcore
acidcore
bouncy techno
breakcore
lolicore
raggacore
digital hardcore
doomcore
drum'n'core
frenchcore
gabber
early hardcore
gabber metal
mainstream hardcore
happy hardcore
uk hardcore
industrial hardcore
j-core
lento violento
mákina
speedbass
speedcore
extratone
flashcore
splittercore
hypertone
terrorcore
trancecore
freeform hardcore
hardstyle
dubstyle
euphoric frenchcore
euphoric hardstyle
jumpstyle
rawstyle
trapstyle
hauntology
chillwave
hypnagogic pop
synthwave
darksynth
sovietwave
vaporwave
future funk
hardvapour
mallsoft
house music
acid house
afro house
amapiano
gqom
kidandali
kwaito
ambient house
balearic beat
ballroom
bass house
brazilian bass
slap house
blog house
chicago hard house
chicago house
deep house
disco house
diva house
hardbag
electro house
big room house
complextro
dutch house
fidget house
melbourne bounce
electro swing
eurohouse
french house
funky house
future house
garage house
ghetto house
ghettotech
juke house
hip house
italo house
jazz house
latin house
melodic house
microhouse
moombahcore
moombahton
moombahsoul
new jersey sound
outsider house
progressive house
soulful house
tech house
tribal house
tropical house
uk hard house
hard nrg
pumping house
hardbass
poky
scouse house
industrial / post-industrial
deconstructed club
electro-industrial
dark electro
aggrotech
electronic body music (ebm)
futurepop
new beat
industrial hip hop
industrial metal
cyber metal
neue deutsche härte
industrial rock
martial industrial
witch house
intelligent dance music
drill 'n' bass
glitch
glitch hop
neurohop
noise music
danger music
japanoise
harsh noise
harsh noise wall
power electronics
death industrial
power noise
plunderphonics
sampledelia
techno
acid techno
ambient techno
berlin techno
birmingham sound
bleep techno
detroit techno
dub techno
hardtechno
free tekno
jungletek
raggatek
tribe
schranz
industrial techno
minimal techno
schaffel
toytown techno
trance music
acid trance
balearic trance
dream trance
eurotrance
hands up
hard trance
goa trance
nitzhonot
neo trance
progressive trance
psychedelic trance
dark psytrance
full-on
minimal psytrance
progressive psytrance
suomisaundi
zenonesque
tech trance
uplifting trance
vocal trance
uk garage
2-step garage
bassline
breakstep
dubstep
brostep
chillstep
post-dubstep
reggaestep
riddim
future garage
grime
grindie
speed garage
uk funky
funkstep
wonky
video game music
chiptune
bitpop
skweee
nintendocore
fm synthesis
sequencer music
