Feature,Median,IQR
Relaxing,2.5,1.0
Commuting,3.5,1.25
Partying,4.5,1.0
Running,4.0,0.25
Shopping,2.0,2.25
Sleeping,1.5,1.0
Studying,2.0,1.25
Working,3.0,2.25
Tempo,4.0,1.25
Danceability,4.5,1.5
Acousticness,2.5,1.5
Instrumentalness,3.0,1.0
Gender,3.5,1.0
Skin,3.0,1.0
Origin,4.0,1.0
Age,2.0,2.0
