Feature,Median,IQR
Relaxing,3.0,1.5
Commuting,3.0,1.5
Partying,4.0,0.5
Running,4.0,1.0
Shopping,2.0,1.0
Sleeping,1.0,0.5
Studying,3.0,1.0
Working,2.0,1.5
Tempo,4.0,0.0
Danceability,4.0,1.0
Acousticness,3.0,1.5
Instrumentalness,3.0,0.5
Gender,3.0,0.5
Skin,2.0,1.0
Origin,3.0,1.0
Age,2.0,1.5
