prolific_pid,d_scores,openess_score
60d3073ad8226faf632f6ef7,-0.147,5
61085eb72ce70a498366f602,-0.126,3
606b0d260c8c0c5fd7c854c8,0.26,4
5f5c0afb55bc9f3eced6f307,-0.039,3
