prolific_pid,d_scores,openess_score
5f92f3106ec462055506c357,-0.221,1
60d3073ad8226faf632f6ef7,-0.147,5
61085eb72ce70a498366f602,-0.126,3
606b0d260c8c0c5fd7c854c8,0.26,4
60dc262964386b6c44cc5040,-0.264,5
5f5c0afb55bc9f3eced6f307,-0.039,3
6170ab07c9a3ea327b2b106c,-0.263,5
