prolific_pid,d_scores,openess_score
60dc262964386b6c44cc5040,0.695,5
5f92f3106ec462055506c357,0.495,0
606b0d260c8c0c5fd7c854c8,0.288,5
60d3073ad8226faf632f6ef7,0.453,5
61085eb72ce70a498366f602,-0.155,4
5f5c0afb55bc9f3eced6f307,-0.405,2
6170ab07c9a3ea327b2b106c,0.02,5
5c6af6b781d8da000100d460,0.113,1
