prolific_pid,d_scores,openess_score
61085eb72ce70a498366f602,-0.275,4
606b0d260c8c0c5fd7c854c8,0.419,4
60dc262964386b6c44cc5040,0.593,5
6170ab07c9a3ea327b2b106c,-0.032,5
5f92f3106ec462055506c357,0.338,0
60d3073ad8226faf632f6ef7,0.177,5
5f5c0afb55bc9f3eced6f307,-0.584,3
5c6af6b781d8da000100d460,-0.633,3
