2-step garage
4-beat
acid breaks
acid house
acid jazz
acid techno
acid trance
acidcore
acousmatic music
african electronic dance music
afro house
afro trap
afro/cosmic music
afrobeats
afroswing
aggrotech
alternative dance
alternative hip hop
amapiano
ambient
ambient dub
ambient house
ambient industrial
ambient techno
andean new-age
artcore
asian underground
atmospheric drum and bass
azonto
baggy
balearic beat
balearic trance
ballroom
baltimore club
bass house
bass music
bassline
berlin school
berlin techno
big beat
big room house
birmingham sound
bitpop
bleep techno
boogie
bouncy techno
brazilian bass
breakbeat
breakbeat hardcore
breakcore
breakstep
broken beat
brostep
bubblegum dance
budots
changa tuki
chicago hard house
chicago house
chill-out
chillstep
chillwave
chiptune
city pop
cloud rap
clownstep
cold wave
complextro
coupé-décalé
crunk
crunkcore
cyber metal
dance-pop
dance-punk
dance-rock
dancehall pop
danger music
dark ambient
dark electro
dark psytrance
dark wave
darkcore
darkstep
darksynth
death industrial
deconstructed club
deep house
detroit techno
digital hardcore
disco
disco house
disco polo
diva house
doomcore
downtempo
dream trance
dreampunk
drill
drill 'n' bass
drone
drum and bass
drum'n'core
drumfunk
drumstep
dub
dub poetry
dub techno
dubstep
dubstyle
dubtronica
dungeon synth
dutch house
early hardcore
electro
electro house
electro swing
electro-disco
electro-industrial
electroacoustic improvisation
electroacoustic music
electroclash
electrogrind
electronic body music
electronic rock
electronica
electronicore
electropop
emo rap
ethereal wave
ethnic electronica / regional edm
euphoric frenchcore
euphoric hardstyle
eurobeat
eurodance
eurodisco
eurohouse 
eurotrance
extratone
fidget house
flashcore
florida breaks
fm synthesis
folktronica
footwork
free tekno
freeform hardcore
french house
frenchcore
full-on
funk carioca
funk fusion genres
funk ostentação
funkstep
funktronica
funky house
future bass
future funk
future garage
future house
futurepop
gabber
gabber metal
garage house
ghetto house
ghettotech
glitch
glitch hop
goa trance
gqom
grime
grindie
hands up
happy hardcore
hard nrg
hard trance
hardbag
hardbass
hardcore
hardcore breaks
hardstep
hardstyle
hardtechno
hardvapour
hardwave
harsh noise
harsh noise wall
hauntology
hi-nrg
hip hop fusion genres
hip house
hipster hop
house music
hyperpop
hypertone
hypnagogic pop
illbient
indietronica
industrial / post-industrial
industrial hardcore
industrial hip hop
industrial metal
industrial rock
industrial techno
instrumental hip hop
intelligent dance music
intelligent drum and bass
isolationism
italo dance
italo disco
italo house
j-core
japanoise
jazz house
jazzstep
jazztronica
jersey club
juke house
jump-up
jumpstyle
jungle
jungle terror
jungletek
kawaii future bass
kidandali
kosmische musik
krautrock
kuduro
kwaito
laptronica
latin freestyle
latin house
latin trap
lento violento
liquid funk
live electronics
livetronica
lofi hip hop
lolicore
lowercase
madchester
mahraganat
mainstream hardcore
mallsoft
manila sound
martial industrial
melbourne bounce
melodic funk
melodic house
merenhouse
miami bass
microhouse
minimal psytrance
minimal techno
minimal wave
moombahcore
moombahsoul
moombahton
mumble rap
musique concrète
mákina
neo trance
neoclassical dark wave
neoclassical new-age
neue deutsche härte
neue deutsche todeskunst
neue deutsche welle
neurofunk
neurohop
new beat
new jersey sound
new rave
new romantic
new wave
new-age
nintendocore
nitzhonot
noise music
nortec
nu skool breaks
nu-disco
nu-gaze
onkyokei
outsider house
philly club
phonk
plunderphonics
poky [es]
post-disco
post-dubstep
post-rock
power electronics
power noise
progressive breaks
progressive electronic
progressive house
progressive psytrance
progressive trance
proibidão
psybient
psychedelic breakbeat
psychedelic trance
psydub
pumping house
rabòday
ragga jungle
raggacore
raggatek
rara tech
rasteirinha
rawstyle
reductionism
reggaestep
riddim
russ music
sambass
sampledelia
schaffel
schranz
scouse house
sequencer music
shamstep
shangaan electro
skweee
slap house
slime punk
snap music
sophisti-pop
soulful house
soundscape
sovietwave
space disco
space music
space rock
spacesynth
speed garage
speedbass 
speedcore
splittercore
suomisaundi
synth-funk
synth-metal
synth-pop
synth-punk
synthwave
tech house
tech trance
techno
technoid
techstep
terrorcore
toytown techno
trance music
trancecore
trancestep
trap
trap (edm)
trapstyle
tribal guarachero
tribal house
tribe
trip hop
trip rock
tropical house
uk bass
uk drill
uk funky
uk garage
uk hard house
uk hardcore
uk trap
uplifting trance
vaporwave
video game music
vocal trance
wave
witch house
wonky
worldbeat
zenonesque
