Feature,Median,IQR
Relaxing,2.5,1.5
Commuting,3.0,2.25
Partying,4.0,0.5
Running,4.0,0.25
Shopping,1.5,1.5
Sleeping,1.5,1.5
Studying,2.5,1.5
Working,3.0,0.75
Tempo,4.0,0.5
Danceability,3.5,3.25
Acousticness,2.5,1.5
Instrumentalness,2.5,1.25
Gender,3.5,1.25
Skin,2.5,1.25
Origin,4.0,0.5
Age,2.0,0.5
