prolific_pid,d_scores,openess_score
61085eb72ce70a498366f602,-0.275,4
606b0d260c8c0c5fd7c854c8,0.419,4
60dc262964386b6c44cc5040,0.593,5
5f92f3106ec462055506c357,0.338,0
