Feature,Median,IQR
Relaxing,3.0,0.5
Commuting,4.0,0.5
Partying,5.0,0.5
Running,4.0,1.5
Shopping,2.0,1.0
Sleeping,1.0,0.5
Studying,2.0,0.5
Working,4.0,2.0
Tempo,4.0,1.0
Danceability,4.0,0.5
Acousticness,3.0,1.0
Instrumentalness,3.0,0.0
Gender,4.0,0.5
Skin,3.0,0.5
Origin,4.0,0.5
Age,1.0,1.0
