PROLIFIC_PID,d_score,o_score
5f27df9a9858eb0008fd7aa3,-0.139,1
5ebc3cc7adb5e706b8021deb,-0.351,4
60aabff11bad269f664ccbc7,-0.889,3
6134fe6f036b9de4fb216cb2,-0.1,4
5f6132f075b3fa0ac649fd3c,0.619,5
6076dfb3ec881562b02b03a7,-0.39,3
612820047346933da8342f74,-0.791,5
5f33ead9400eee2403448c32,-0.387,3
60ecadbc339c0f0e49a9c370,0.909,1
60fd945c307626b8b4d4e4dc,-0.095,0
616b2703143d4550968777b8,0.511,5
5d39dd63c49dae00016065c7,0.24,5
5f0471a92ec97b6d1aec7739,0.11,4
5f20247996215b06459cdfff,-0.484,5
60a44015d0ff9f3d81a1a1c8,0.207,5
5f285902166da3151b01faf2,-0.199,4
5c0fde85d86a170001faa55a,-0.524,2
60c939c438c389b49847c08b,0.603,5
60b3576258dd0303232cb158,0.389,2
5ef698a927c8ea38d5bcc192,-0.192,2
61071bc6d5e086fc27f57884,0.262,3
605c984fb45a5c4f390a8c6b,-0.37,5
60bd04a3749e1ca47e54d3e1,-0.222,2
5ea718879d28c80bf38bcb7f,-0.033,4
611cf2fd04c64ae9781b55e5,-0.382,3
6024c1edf9b0e11f13c59cbd,-0.722,4
60f5a332d13bb868d7724c52,0.334,1
5dcbea3588381e87f60cb202,-0.235,4
5e85fb52694b68049c112544,0.067,2
6082f09379b513197ffeb54e,-0.148,2
605663e5147a7b66e6853a0b,0.121,4
613d091096ca434d703f77c5,0.118,5
5ef36b13c358120b8508ab5d,-0.322,2
612fe64ec0e4e3b001e553ef,-0.319,3
61641b8573a9dcd29ba9d87b,-0.8,2
5ecd600061398f0bffb5ccef,-0.819,4
5d8346167ed176001888204d,0.195,3
5f8eed755fcafb0baa531301,-0.523,5
6166e78051425fa22de68491,-0.076,5
5c39af407aa30a0001ffac91,0.131,4
5f8f1d38e25d2b1306f8e554,0.206,2
5d70ec2138ac7e00012f817b,0.357,4
6145dddfa6fcfd396e1f4f1a,-0.208,1
612ccc537fd00ae8b3e8b95f,0.505,4
5f11ccbc1a1a2c08b4a99efb,0.098,5
609e866bea124d8bae2e1ce8,0.692,3
5e92f26b444572122fdfe44d,-0.564,5
608539cd54e4230bbaaf4959,-0.168,4
615e2e6bb4b4ab6fa6f6086f,0.361,4
