PROLIFIC_PID,d_score,o_score
5b0a93f030d562000155259e,-0.184,5
60b553fb5705a4355358afaf,-0.118,3
5fb3d4024e5665000a941d9d,0.743,3
5c4c53b95aa8dc00011b0dce,0.129,3
5f8b031f5f71b109548721bd,-0.114,2
61123b66dae2d7c959c7ff31,-0.332,3
6152dfa0790891ef5d673501,0.163,3
60496d3990d324547105f959,-0.108,3
61141c855eb58d6a4e3d8d5b,0.59,4
615c43b800752a4f3d0fd1f0,-0.066,3
5de440d3400de40285c01263,0.271,3
5e68d8b2a042a7000d529490,0.175,4
61465149835949882116b8c4,0.424,4
6113a568434313758954bb53,0.733,4
611fce73e0a46ebc8e4b90a5,0.14,4
61720e04849f1568c2f3e999,-0.009,5
5e9dd814910d621387801b01,0.243,4
58f50400f4ce600001016db5,0.073,2
61322612510b85268a0c4b63,-0.207,2
5dee6f4d3b1c9450c5d126fc,-0.793,3
608c349d8e7f57e8f84d3a27,-0.498,5
615db8621a77715a3f2e6b54,-0.323,3
5e8f31ca66838a1ff52975b5,-0.588,1
5fda8761cffa3b71e6d684bf,-0.175,4
5ed6d66c4ddb96153b704550,-0.604,5
5f444f41d9255617e1ba10ff,0.29,3
61712b162161b5362dd40119,-0.383,4
5da839f66f11e500123e30c7,0.457,5
5f2d14d99d93bf265393b8ac,-0.4,4
5ea1c3f3e9fb240a9b243e18,-0.024,5
5b6dada03ce3ab0001fd077c,0.289,4
5be2965691deed00015acc2b,-0.536,3
604a3c8ec261d2fa6ac242c3,-0.42,5
60d9a7c0aebfc51577e97903,-0.102,1
6107f8e71da90474ed188cb3,-0.079,3
609a7d5287ca8fb83e0780d4,-0.279,4
5ebefa4d2bd5510ff39688c1,-0.542,5
5f89c22268e5fe0009834636,-0.321,3
6014314ae378481403f01e86,0.064,4
60f1881264ff3a7f211d186a,-0.112,4
6032b41809e86b2d25e6abf5,0.533,3
615094c9a1ba0233a8c3ccc4,0.619,5
60e467a0b2c2ef1e594bd577,-0.171,3
