participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.2533fc61-a02d-4404-81ea-ac28276e239b.txt	4	3	5	4	2	1	2	4	1	1	1	1	1	4	5	3	1	3	3	3	1	iat.2022-06-25-1456.data.2533fc61-a02d-4404-81ea-ac28276e239b.txt	605c984fb45a5c4f390a8c6b	628b85eadfa9f719427604ce	62b70431e69458af023fc24e	2022-06-25-14-48	2022-06-25-14-56	8
s.e540fadf-efd5-4ddb-b797-0636c9b139b9.txt	2	3	4	3	4	1	1	2	1	1	1	1	2	3	3	2	2	4	2	4	3	iat.2022-06-25-1118.data.e540fadf-efd5-4ddb-b797-0636c9b139b9.txt	61141c855eb58d6a4e3d8d5b	628b85eadfa9f719427604ce	62b6d10e483f1137731c576d	2022-06-25-11-10	2022-06-25-11-18	8
s.bd11c340-7645-4e5d-87f8-14fe2d8d6a3d.txt	1	2	4	2	2	1	1	1	1	1	1	2	2	5	4	2	2	4	2	5	1	iat.2022-06-25-1135.data.bd11c340-7645-4e5d-87f8-14fe2d8d6a3d.txt	610afb895c8cef9f6ec1ac6a	628b85eadfa9f719427604ce	62b6d366c5007f87bd3f02ab	2022-06-25-11-21	2022-06-25-11-35	14
s.784997ad-712c-42cf-b2e0-a45de93d7254.txt	2	2	4	4	2	1	3	2	1	1	1	1	2	5	4	1	2	4	2	4	3	iat.2022-06-25-1311.data.784997ad-712c-42cf-b2e0-a45de93d7254.txt	5d70ec2138ac7e00012f817b	628b85eadfa9f719427604ce	62b6eb7ce9d0bfe044f5c5a3	2022-06-25-13-03	2022-06-25-13-11	8
s.cdfc47f3-7ee6-4028-8bf8-faa1108d67d9.txt	1	4	4	4	2	1	2	2	1	1	1	2	2	4	3	3	2	4	3	2	2	iat.2022-06-27-0041.data.cdfc47f3-7ee6-4028-8bf8-faa1108d67d9.txt	6076dfb3ec881562b02b03a7	628b85eadfa9f719427604ce	62b8df08cbe8d0b3554f68bb	2022-06-27-00-34	2022-06-27-00-41	7
s.a1b3dc5c-1933-4652-8510-00fc90c97531.txt	2	2	5	4	4	1	1	2	1	1	1	2	2	4	5	4	4	4	2	4	2	iat.2022-06-25-1215.data.a1b3dc5c-1933-4652-8510-00fc90c97531.txt	5c39af407aa30a0001ffac91	628b85eadfa9f719427604ce	62b6de635c10fbaee3f5c5c3	2022-06-25-12-07	2022-06-25-12-15	8
s.474b03a3-1fd1-4739-a131-119404a47c84.txt	1	1	4	3	1	1	1	1	2	2	2	2	2	5	4	1	2	4	2	4	4	iat.2022-06-26-1507.data.474b03a3-1fd1-4739-a131-119404a47c84.txt	60fd945c307626b8b4d4e4dc	628b85eadfa9f719427604ce	62b855a4a0131dcf340c5785	2022-06-26-14-54	2022-06-26-15-07	13
s.d7eb407f-a6ad-4c62-a6c8-14879379b2bd.txt	1	1	4	3	2	1	1	1	1	1	2	2	2	3	2	2	2	4	3	4	3	iat.2022-06-25-1256.data.d7eb407f-a6ad-4c62-a6c8-14879379b2bd.txt	5ef36b13c358120b8508ab5d	628b85eadfa9f719427604ce	62b6e808d0d103a481784cec	2022-06-25-12-48	2022-06-25-12-56	8
s.a9b936d2-33ed-433e-9dd4-bea3d4098451.txt	1	2	3	2	1	1	1	1	1	1	2	2	2	4	4	2	2	4	1	4	3	iat.2022-06-25-1620.data.a9b936d2-33ed-433e-9dd4-bea3d4098451.txt	58f50400f4ce600001016db5	628b85eadfa9f719427604ce	62b717a84378921d62f14aa2	2022-06-25-16-11	2022-06-25-16-20	9
s.0b0790ae-3274-4c46-8208-50b8e8ad32c5.txt	1	1	5	5	4	1	1	1	1	1	1	1	1	4	4	2	1	4	2	4	4	iat.2022-06-27-0952.data.0b0790ae-3274-4c46-8208-50b8e8ad32c5.txt	5b0a93f030d562000155259e	628b85eadfa9f719427604ce	62b95f5785dce08f0a98f5cc	2022-06-27-09-44	2022-06-27-09-52	8
s.043ce8a2-9818-4ac4-a245-90ef0a0a74eb.txt	2	4	5	4	4	1	3	3	1	1	1	1	1	5	4	2	2	4	2	5	2	iat.2022-06-25-1609.data.043ce8a2-9818-4ac4-a245-90ef0a0a74eb.txt	5ed6d66c4ddb96153b704550	628b85eadfa9f719427604ce	62b71574daa105ea67f14aa8	2022-06-25-16-02	2022-06-25-16-09	7
s.e9515be2-2ba3-40d5-b826-c6bb7d910927.txt	2	3	4	4	2	1	1	2	1	1	1	1	2	4	4	2	2	4	3	5	2	iat.2022-06-27-0111.data.e9515be2-2ba3-40d5-b826-c6bb7d910927.txt	5ebc3cc7adb5e706b8021deb	628b85eadfa9f719427604ce	62b8e5525f5139bbc7f5c59e	2022-06-27-01-01	2022-06-27-01-11	10
s.5398f64e-a2fe-4461-9bf4-7d192250b3de.txt	2	3	4	4	3	2	3	3	1	1	2	2	2	4	5	3	2	3	3	3	2	iat.2022-06-25-1120.data.5398f64e-a2fe-4461-9bf4-7d192250b3de.txt	5f8f1d38e25d2b1306f8e554	628b85eadfa9f719427604ce	62b6d1228e9d6b2894bb688b	2022-06-25-11-12	2022-06-25-11-20	8
s.9790e142-6cd7-4851-9643-230a7012ea12.txt	3	2	4	3	2	1	3	4	1	1	1	1	2	4	4	1	2	3	2	4	1	iat.2022-06-25-1134.data.9790e142-6cd7-4851-9643-230a7012ea12.txt	61071bc6d5e086fc27f57884	628b85eadfa9f719427604ce	62b6d461997a8ebd281c5758	2022-06-25-11-24	2022-06-25-11-34	10
s.c20d7fd5-29c0-4d51-b63b-a98d1198dd31.txt	2	3	5	3	3	1	2	1	1	2	2	2	2	4	4	2	2	3	3	3	3	iat.2022-06-25-1937.data.c20d7fd5-29c0-4d51-b63b-a98d1198dd31.txt	5e8f31ca66838a1ff52975b5	628b85eadfa9f719427604ce	62b745e159b85a60473f02a7	2022-06-25-19-29	2022-06-25-19-37	8
