PROLIFIC_PID,d_score,o_score
5f6132f075b3fa0ac649fd3c,0.098,5
5f11ccbc1a1a2c08b4a99efb,-0.535,5
5f20247996215b06459cdfff,0.029,5
5e92f26b444572122fdfe44d,-0.499,4
608539cd54e4230bbaaf4959,0.142,3
5d70ec2138ac7e00012f817b,-0.197,4
61641b8573a9dcd29ba9d87b,-0.338,2
5f8f1d38e25d2b1306f8e554,-0.281,2
60ecadbc339c0f0e49a9c370,0.627,1
60bd04a3749e1ca47e54d3e1,-0.344,3
611cf2fd04c64ae9781b55e5,-0.499,3
612ccc537fd00ae8b3e8b95f,-0.291,4
60aabff11bad269f664ccbc7,-0.813,4
613d091096ca434d703f77c5,-0.711,4
609e866bea124d8bae2e1ce8,-0.563,3
5d8346167ed176001888204d,-0.058,3
5dcbea3588381e87f60cb202,-0.933,4
5e85fb52694b68049c112544,0.016,2
5f33ead9400eee2403448c32,0.462,3
5df76aff2d2185502504d15c,-0.644,2
6145dddfa6fcfd396e1f4f1a,0.167,1
5c39af407aa30a0001ffac91,0.142,2
5d39dd63c49dae00016065c7,0.205,5
5f285902166da3151b01faf2,-0.103,4
5ecd600061398f0bffb5ccef,-0.131,4
60c939c438c389b49847c08b,0.194,5
612fe64ec0e4e3b001e553ef,-0.713,4
605663e5147a7b66e6853a0b,0.59,3
61071bc6d5e086fc27f57884,-0.046,3
60b3576258dd0303232cb158,-0.523,2
6134fe6f036b9de4fb216cb2,-1.351,3
60f5a332d13bb868d7724c52,0.195,1
5ef698a927c8ea38d5bcc192,0.133,2
60fd945c307626b8b4d4e4dc,-0.126,0
5ef36b13c358120b8508ab5d,-0.161,2
60a44015d0ff9f3d81a1a1c8,-0.152,5
5ebc3cc7adb5e706b8021deb,0.423,2
5f0471a92ec97b6d1aec7739,0.623,4
5c0fde85d86a170001faa55a,-0.866,2
605c984fb45a5c4f390a8c6b,0.171,5
612820047346933da8342f74,-0.236,5
6166e78051425fa22de68491,0.024,4
6082f09379b513197ffeb54e,-0.969,2
5f27df9a9858eb0008fd7aa3,0.127,1
6076dfb3ec881562b02b03a7,0.429,3
5c7c3909042bf900012ab4d1,-0.512,3
5f8eed755fcafb0baa531301,-0.129,4
5ea718879d28c80bf38bcb7f,0.216,4
616b2703143d4550968777b8,-0.085,5
