PROLIFIC_PID,d_score,o_score
5da839f66f11e500123e30c7,-0.513,4
5be2965691deed00015acc2b,-0.055,3
60f1881264ff3a7f211d186a,-0.777,5
610afb895c8cef9f6ec1ac6a,-0.16,2
58f50400f4ce600001016db5,0.64,1
5f2d14d99d93bf265393b8ac,-0.388,4
6107f8e71da90474ed188cb3,-0.137,2
609a7d5287ca8fb83e0780d4,-0.165,4
60e467a0b2c2ef1e594bd577,-0.715,4
5ea1c3f3e9fb240a9b243e18,-0.565,5
5e68d8b2a042a7000d529490,-0.195,4
61141c855eb58d6a4e3d8d5b,0.357,4
60d9a7c0aebfc51577e97903,-0.666,1
5ed6d66c4ddb96153b704550,-0.419,5
61123b66dae2d7c959c7ff31,0.13,3
61720e04849f1568c2f3e999,0.453,5
604a3c8ec261d2fa6ac242c3,0.271,5
60496d3990d324547105f959,0.261,3
615da7549e575b94827b81ab,0.174,5
6032b41809e86b2d25e6abf5,-0.056,3
5e8f31ca66838a1ff52975b5,-0.053,2
5f444f41d9255617e1ba10ff,-0.136,4
5fb3d4024e5665000a941d9d,0.019,3
615c43b800752a4f3d0fd1f0,-0.235,3
5dee6f4d3b1c9450c5d126fc,-0.021,3
602691763444df34d0917731,-0.444,2
5ebefa4d2bd5510ff39688c1,0.176,5
6014314ae378481403f01e86,-0.495,3
611fce73e0a46ebc8e4b90a5,-0.551,4
61322612510b85268a0c4b63,-0.103,3
5fdebabfb5d1fc684adaa1f9,-0.465,2
5de440d3400de40285c01263,0.052,3
5c4c53b95aa8dc00011b0dce,0.374,2
608c349d8e7f57e8f84d3a27,-0.289,5
5f8b031f5f71b109548721bd,0.075,2
5b6dada03ce3ab0001fd077c,-0.526,3
5fda8761cffa3b71e6d684bf,-0.209,3
609ab970bcff69957427445d,-0.126,4
6113a568434313758954bb53,-0.503,4
6152dfa0790891ef5d673501,-0.049,3
5e9dd814910d621387801b01,0.676,3
60b553fb5705a4355358afaf,-0.572,3
615094c9a1ba0233a8c3ccc4,-0.135,5
608bb6544e29801f4cac1c2d,0.35,3
615db8621a77715a3f2e6b54,-0.339,3
5b0a93f030d562000155259e,0.037,5
