PROLIFIC_PID,d_score,o_score
5ea1c3f3e9fb240a9b243e18,-0.197,5
5c4c53b95aa8dc00011b0dce,0.347,3
60e467a0b2c2ef1e594bd577,-0.13,3
610afb895c8cef9f6ec1ac6a,-0.218,2
5fda8761cffa3b71e6d684bf,-0.184,4
58f50400f4ce600001016db5,0.327,2
61322612510b85268a0c4b63,0.77,3
611fce73e0a46ebc8e4b90a5,0.032,4
5fb3d4024e5665000a941d9d,0.732,3
60b553fb5705a4355358afaf,0.89,3
5e68d8b2a042a7000d529490,-0.432,5
5f444f41d9255617e1ba10ff,0.027,3
5be2965691deed00015acc2b,-0.413,3
61141c855eb58d6a4e3d8d5b,0.104,4
61465149835949882116b8c4,-0.08,4
604a3c8ec261d2fa6ac242c3,-0.24,5
5f89c22268e5fe0009834636,-0.138,2
6014314ae378481403f01e86,-0.685,4
5f2d14d99d93bf265393b8ac,0.057,4
6113a568434313758954bb53,0.145,4
5de440d3400de40285c01263,0.23,4
61123b66dae2d7c959c7ff31,-0.353,3
60496d3990d324547105f959,0.712,3
5e8f31ca66838a1ff52975b5,-0.337,1
615db8621a77715a3f2e6b54,0.086,4
615094c9a1ba0233a8c3ccc4,0.101,5
6152dfa0790891ef5d673501,0.473,3
609a7d5287ca8fb83e0780d4,-0.25,4
6032b41809e86b2d25e6abf5,0.691,4
61720e04849f1568c2f3e999,-0.419,5
5f8b031f5f71b109548721bd,0.244,2
5dee6f4d3b1c9450c5d126fc,-0.063,3
5e9dd814910d621387801b01,-0.09,4
609ab970bcff69957427445d,0.359,4
5b6dada03ce3ab0001fd077c,0.162,4
5ebefa4d2bd5510ff39688c1,0.48,5
60d9a7c0aebfc51577e97903,0.085,1
6107f8e71da90474ed188cb3,0.218,2
615c43b800752a4f3d0fd1f0,-0.475,4
608c349d8e7f57e8f84d3a27,0.145,5
5da839f66f11e500123e30c7,-0.244,5
5ed6d66c4ddb96153b704550,-0.613,5
60f1881264ff3a7f211d186a,-0.912,4
608bb6544e29801f4cac1c2d,-0.405,4
