PROLIFIC_PID,d_score,o_score
61641b8573a9dcd29ba9d87b,-0.996,3
60c939c438c389b49847c08b,0.133,5
6024c1edf9b0e11f13c59cbd,-0.39,5
612ccc537fd00ae8b3e8b95f,-0.042,4
605663e5147a7b66e6853a0b,-0.17,4
609e866bea124d8bae2e1ce8,0.748,4
5f11ccbc1a1a2c08b4a99efb,-0.427,5
5ef36b13c358120b8508ab5d,0.356,2
5f0471a92ec97b6d1aec7739,0.168,4
611cf2fd04c64ae9781b55e5,-1.054,2
5f285902166da3151b01faf2,-0.286,4
60ecadbc339c0f0e49a9c370,0.491,1
5f27df9a9858eb0008fd7aa3,-0.059,2
5ebc3cc7adb5e706b8021deb,-0.871,4
6134fe6f036b9de4fb216cb2,-0.603,4
616b2703143d4550968777b8,-0.051,5
5e92f26b444572122fdfe44d,-0.177,5
612820047346933da8342f74,-0.622,5
5d8346167ed176001888204d,-0.177,3
5d39dd63c49dae00016065c7,0.234,5
61071bc6d5e086fc27f57884,-0.583,4
5f33ead9400eee2403448c32,0.158,3
608539cd54e4230bbaaf4959,-0.06,4
6076dfb3ec881562b02b03a7,-0.507,3
6082f09379b513197ffeb54e,-0.567,2
5f8f1d38e25d2b1306f8e554,-0.228,2
5c39af407aa30a0001ffac91,-0.146,3
615e2e6bb4b4ab6fa6f6086f,-0.02,4
613d091096ca434d703f77c5,0.094,5
60aabff11bad269f664ccbc7,0.209,3
5f6132f075b3fa0ac649fd3c,0.628,5
60f5a332d13bb868d7724c52,0.029,1
605c984fb45a5c4f390a8c6b,-0.279,5
6166e78051425fa22de68491,0.072,5
5dcbea3588381e87f60cb202,-0.321,4
612fe64ec0e4e3b001e553ef,-0.935,3
5f20247996215b06459cdfff,0.356,5
5ecd600061398f0bffb5ccef,-0.186,4
60fd945c307626b8b4d4e4dc,0.408,0
6145dddfa6fcfd396e1f4f1a,-0.344,1
60bd04a3749e1ca47e54d3e1,-0.551,3
5e85fb52694b68049c112544,-0.509,3
5d70ec2138ac7e00012f817b,0.169,4
5ef698a927c8ea38d5bcc192,-0.429,2
5ea718879d28c80bf38bcb7f,-0.64,4
5c0fde85d86a170001faa55a,-0.804,4
60a44015d0ff9f3d81a1a1c8,-0.311,5
