username,group,phase,nov genres,nov genres_p,nov EM genres,nov EM genres_p,nov artists,nov artists_p,nov EM artists,nov EM artists_p,nov tracks,nov tracks_p,nov EM tracks,nov EM tracks_p,match artists,match tracks
Inês,LD,POST,58,33.14,3,50.0,85,59.03,3,50.0,144,75.39,5,83.33,0,0
Acemorais,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acemorais,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deniseterzi,HD,COND,15,30.61,0,0,28,48.28,0,0,46,60.53,0,0,0,0
deniseterzi,HD,POST,0,0.0,0,0,3,18.75,0,0,5,45.45,0,0,0,0
Bea_P,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bea_P,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnnyMichaels,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnnyMichaels,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex23,HD,COND,1,5.0,0,0,54,31.4,0,0,188,38.21,0,0,0,0
Apex23,HD,POST,0,0.0,0,0,9,8.65,0,0,30,12.55,0,0,0,0
ippo,LD,COND,86,55.84,6,100.0,127,76.05,4,100.0,125,83.89,3,100.0,0,0
ippo,LD,POST,31,31.31,1,33.33,89,78.76,2,100.0,95,87.16,1,100.0,0,0
An_Oxygen_Consumer,HD,COND,85,54.14,9,81.82,61,66.3,6,75.0,125,73.53,6,75.0,1,1
An_Oxygen_Consumer,HD,POST,1,2.78,0,0,4,25.0,0,0,8,30.77,0,0,0,0
Alba_hontoria_96,HD,COND,64,49.23,5,83.33,145,69.38,10,83.33,262,87.63,7,87.5,0,0
Alba_hontoria_96,HD,POST,10,16.13,0,0,43,39.09,0,0,89,63.12,0,0,0,0
BlueGiuly,LD,COND,10,12.35,1,12.5,55,29.26,5,29.41,149,40.05,2,25.0,0,0
BlueGiuly,LD,POST,0,0.0,0,0.0,12,14.63,0,0.0,26,22.03,0,0.0,0,0
aritahierro,HD,COND,121,53.78,9,50.0,111,77.62,17,80.95,190,81.2,16,88.89,0,0
aritahierro,HD,POST,16,25.0,4,66.67,10,47.62,3,100.0,17,58.62,5,100.0,0,0
brunix21,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brunix21,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benfica15951,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benfica15951,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vittoria,LD,COND,23,44.23,4,57.14,21,60.0,2,40.0,68,83.95,6,75.0,0,0
Vittoria,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SofiiFreitas,LD,COND,17,38.64,0,0,56,72.73,0,0,98,76.56,0,0,0,0
SofiiFreitas,LD,POST,2,25.0,0,0,4,16.67,0,0,6,16.22,0,0,0,0
gabriverce,HD,COND,10,37.04,0,0.0,21,56.76,2,100.0,32,72.73,1,100.0,0,0
gabriverce,HD,POST,0,0.0,0,0,1,50.0,0,0,18,81.82,0,0,0,0
versilvia,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
versilvia,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RicardoCoelho8,HD,COND,29,21.17,2,22.22,72,28.69,10,52.63,89,36.93,8,61.54,0,0
RicardoCoelho8,HD,POST,34,31.19,1,14.29,47,21.56,6,21.43,150,47.02,26,50.98,0,0
outofljfe,LD,COND,42,31.82,3,37.5,45,47.87,4,50.0,77,63.64,4,57.14,0,0
outofljfe,LD,POST,7,7.45,0,0.0,14,29.17,0,0.0,15,34.09,1,25.0,0,0
andrespi,HD,COND,45,50.0,6,46.15,68,78.16,24,77.42,60,89.55,14,93.33,0,0
andrespi,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ordep123,LD,COND,51,40.48,6,54.55,63,71.59,14,82.35,89,84.76,13,92.86,0,0
Ordep123,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quicomedeiros,LD,COND,7,7.69,3,42.86,48,29.27,4,50.0,83,41.5,6,85.71,1,1
quicomedeiros,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nowhereknows,LD,COND,57,25.68,4,26.67,137,46.76,16,66.67,243,53.17,13,52.0,0,0
nowhereknows,LD,POST,14,10.37,0,0.0,40,22.6,0,0.0,88,32.23,1,50.0,0,0
dfilipa98,HD,COND,41,29.93,1,20.0,60,50.85,3,42.86,70,38.25,2,50.0,0,0
dfilipa98,HD,POST,16,18.18,0,0.0,44,48.35,0,0.0,83,58.87,0,0.0,0,0
Lostveneto,LD,COND,15,24.59,0,0,10,27.78,0,0,67,37.43,0,0,0,0
Lostveneto,LD,POST,2,4.76,0,0,2,8.0,0,0,8,7.69,0,0,0,0
itsmatild,HD,COND,94,55.29,9,52.94,137,67.49,14,66.67,192,80.0,10,66.67,0,0
itsmatild,HD,POST,28,33.33,4,66.67,65,67.71,3,100.0,79,73.83,2,100.0,0,0
diogojf,HD,COND,11,32.35,0,0.0,65,78.31,0,0.0,108,73.97,0,0.0,0,0
diogojf,HD,POST,0,0.0,0,0.0,2,4.35,0,0.0,2,3.12,0,0.0,0,0
Ramiroowww,HD,COND,59,34.3,3,13.64,139,59.66,17,43.59,152,69.09,15,51.72,0,0
Ramiroowww,HD,POST,16,15.09,0,0.0,37,36.27,0,0.0,45,50.56,0,0.0,0,0
Ile.96,LD,COND,19,22.89,1,14.29,47,39.83,4,30.77,48,51.61,2,33.33,0,0
Ile.96,LD,POST,16,35.56,0,0.0,36,61.02,0,0.0,31,77.5,0,0.0,0,0
Gon1507,HD,COND,13,26.0,1,11.11,19,29.69,5,50.0,38,40.0,3,50.0,0,0
Gon1507,HD,POST,3,10.71,0,0.0,8,26.67,0,0.0,36,50.7,0,0.0,0,0
MayaIaia4,HD,COND,86,48.04,1,12.5,170,64.64,6,66.67,211,73.26,7,77.78,0,0
MayaIaia4,HD,POST,8,9.2,0,0.0,45,39.47,2,50.0,90,60.0,4,100.0,0,0
Solk,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solk,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anasofiamachado,LD,COND,44,38.26,8,57.14,87,70.73,18,81.82,94,75.2,11,84.62,0,0
anasofiamachado,LD,POST,11,37.93,0,0,5,71.43,0,0,6,85.71,0,0,0,0
Branky,HD,COND,30,22.22,2,33.33,36,40.91,3,42.86,72,75.0,3,60.0,0,0
Branky,HD,POST,20,22.73,5,100.0,18,46.15,4,100.0,51,77.27,3,100.0,0,0
silvawestcoast,LD,COND,78,47.27,2,13.33,209,58.38,8,21.05,281,59.79,9,18.0,0,0
silvawestcoast,LD,POST,77,35.81,2,16.67,180,45.8,26,68.42,267,55.51,22,59.46,0,0
MLN,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLN,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HiddenTrack,HD,COND,19,32.2,1,100.0,56,47.86,2,100.0,85,76.58,6,100.0,0,0
HiddenTrack,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holt92,HD,COND,34,19.43,5,7.94,235,25.91,93,17.71,222,31.22,78,22.67,2,2
Holt92,HD,POST,20,12.27,5,9.09,50,9.4,25,7.65,73,18.81,34,16.35,1,2
sarafdelgado,LD,COND,66,38.82,4,23.53,88,69.29,12,63.16,202,88.6,11,84.62,0,0
sarafdelgado,LD,POST,4,5.63,1,5.56,19,36.54,12,44.44,24,57.14,7,50.0,0,0
CarolFrancis,HD,COND,109,48.88,15,62.5,460,81.42,75,78.12,568,84.9,90,76.92,5,5
CarolFrancis,HD,POST,11,14.86,1,33.33,32,25.81,4,40.0,56,35.22,8,36.36,0,0
axel22,HD,COND,65,52.0,13,41.94,214,81.99,125,80.65,259,83.28,86,86.0,0,0
axel22,HD,POST,5,6.17,1,3.7,27,16.56,5,5.75,35,23.65,5,9.62,0,0
5ea1c3f3e9fb240a9b243e18,HD,COND,26,36.62,0,0,41,49.4,0,0,45,54.22,0,0,0,0
5ea1c3f3e9fb240a9b243e18,HD,POST,2,11.11,0,0,4,26.67,0,0,5,41.67,0,0,0,0
ilvapleuvoir,HD,COND,63,58.33,3,75.0,89,46.84,6,66.67,127,50.2,3,75.0,0,0
ilvapleuvoir,HD,POST,1,4.55,0,0,3,10.0,0,0,36,46.75,0,0,0,0
mrndcn,HD,COND,30,68.18,1,100.0,49,79.03,2,100.0,34,85.0,1,100.0,0,0
mrndcn,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheMusicWeirdo,HD,COND,4,21.05,0,0,17,56.67,0,0,20,60.61,0,0,0,0
TheMusicWeirdo,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiagofcneves,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiagofcneves,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olline,HD,COND,62,40.52,6,37.5,99,52.66,32,60.38,131,74.43,18,64.29,0,0
olline,HD,POST,11,13.75,2,33.33,21,32.31,6,37.5,27,52.94,6,50.0,0,0
pirolocams,LD,COND,61,37.89,5,35.71,110,54.19,24,77.42,194,57.91,22,88.0,0,0
pirolocams,LD,POST,0,0.0,0,0,1,3.85,0,0,6,16.67,0,0,0,0
valxros,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valxros,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bpin,HD,COND,22,29.73,1,50.0,90,63.83,1,33.33,122,73.05,2,66.67,0,0
bpin,HD,POST,3,4.92,0,0.0,12,12.37,0,0.0,14,12.5,0,0.0,0,0
60f1881264ff3a7f211d186a,HD,COND,119,38.64,19,34.55,427,72.62,127,72.99,498,84.12,97,85.84,0,0
60f1881264ff3a7f211d186a,HD,POST,34,32.08,10,37.04,91,71.09,16,47.06,87,80.56,14,66.67,0,0
sneakysoup,LD,COND,34,50.75,6,85.71,32,71.11,8,88.89,51,73.91,9,100.0,0,0
sneakysoup,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giulispaggiari,LD,COND,71,55.91,6,66.67,89,63.12,16,88.89,186,68.38,10,90.91,0,0
giulispaggiari,LD,POST,8,13.56,1,25.0,20,33.9,6,54.55,40,43.48,5,83.33,0,0
Bruno10000silva,HD,COND,156,61.66,45,84.91,510,81.86,286,100.0,518,83.55,286,100.0,0,0
Bruno10000silva,HD,POST,5,9.43,4,14.29,78,42.62,81,45.25,145,67.44,140,67.63,0,0
Luijinho,LD,COND,64,38.32,7,63.64,92,62.59,11,84.62,157,70.4,8,80.0,0,0
Luijinho,LD,POST,11,15.71,2,33.33,39,52.0,4,50.0,56,56.57,4,66.67,2,1
salvatore9,LD,COND,48,26.82,7,28.0,106,60.23,32,78.05,112,66.27,27,87.1,0,0
salvatore9,LD,POST,30,23.08,1,7.14,74,62.71,17,85.0,78,75.73,13,86.67,0,0
fraaa,HD,COND,41,45.56,7,70.0,93,55.03,22,81.48,96,62.75,14,87.5,0,0
fraaa,HD,POST,8,12.9,2,22.22,17,18.09,7,30.43,22,28.21,4,36.36,0,0
Edu_Marques17,HD,COND,21,29.17,2,33.33,68,45.64,5,62.5,70,56.91,4,80.0,0,0
Edu_Marques17,HD,POST,27,31.03,1,14.29,46,41.44,9,81.82,50,52.08,7,87.5,0,0
matiri95,HD,COND,44,58.67,1,100.0,28,45.16,1,100.0,43,63.24,1,100.0,0,0
matiri95,HD,POST,8,22.86,0,0,31,72.09,0,0,25,69.44,0,0,0,0
