username,group,phase,genres_unique,genres_count,EM_genres_unique,EM_genres_unique_p,EM_genres_count,EM_genres_count_p,EM_genres_top_head_p,Jaccard_top5_genres,Jaccard_top10_genres,Jaccard_top20_genres,gini_genres,gini_EM_genres,artists_unique,artists_count,EM_artists_unique,EM_artists_unique_p,EM_artists_count,EM_artists_count_p,EM_artists_top_head_p,Jaccard_top5_artists,Jaccard_top10_artists,Jaccard_top20_artists,gini_artists,gini_EM_artists,tracks_unique,tracks_count,EM_tracks_unique,EM_tracks_unique_p,EM_tracks_count,EM_tracks_count_p,EM_tracks_top_head_p,Jaccard_top5_tracks,Jaccard_top10_tracks,Jaccard_top20_tracks,gini_tracks,gini_EM_tracks
mapu25,LD,PRE,185,2410,10,5.41,39,1.62,0.0,0.0,0.0,0.0,0.8,0.43,272,1403,10,3.68,32,2.28,0.74,0.0,0.0,0.0,0.71,0.43,430,1189,6,1.4,16,1.35,0.23,0.0,0.0,0.0,0.51,0.46
dv248,HD,PRE,169,1588,6,3.55,42,2.64,1.78,0.0,0.0,0.0,0.71,0.45,294,1097,9,3.06,31,2.83,0.68,0.0,0.0,0.04,0.61,0.55,391,761,4,1.02,15,1.97,0.26,0.0,0.08,0.04,0.41,0.55
ruiipereiraa,LD,PRE,510,12783,39,7.65,422,3.3,0.78,0.0,0.0,0.0,0.8,0.6,1000,6821,93,9.3,389,5.7,0.7,0.0,0.0,0.0,0.69,0.57,1475,4888,74,5.02,243,4.97,1.29,0.0,0.05,0.03,0.53,0.49
ritamont,LD,PRE,291,8803,20,6.87,287,3.26,1.37,0.0,0.0,0.03,0.83,0.75,242,1706,36,14.88,232,13.6,3.31,0.11,0.05,0.08,0.75,0.72,588,1631,78,13.27,219,13.43,2.55,0.11,0.05,0.03,0.55,0.58
francisco98,LD,PRE,137,807,12,8.76,46,5.7,1.46,0.0,0.0,0.03,0.57,0.51,175,520,21,12.0,40,7.69,1.14,0.0,0.0,0.05,0.46,0.35,144,380,11,7.64,20,5.26,0.69,0.0,0.0,0.03,0.44,0.35
VeroBerardi,LD,PRE,244,2473,18,7.38,126,5.1,1.23,0.0,0.0,0.0,0.74,0.62,462,2123,81,17.53,114,5.37,0.22,0.0,0.0,0.0,0.66,0.22,528,967,38,7.2,46,4.76,0.95,0.0,0.0,0.0,0.4,0.14
joaoms98,LD,PRE,366,9670,12,3.28,120,1.24,0.0,0.0,0.0,0.0,0.77,0.5,888,6654,24,2.7,66,0.99,0.23,0.0,0.0,0.0,0.75,0.57,1662,4892,16,0.96,56,1.14,0.12,0.0,0.0,0.0,0.51,0.62
ossalatodipotassio,LD,PRE,279,4250,7,2.51,20,0.47,0.0,0.0,0.0,0.0,0.74,0.26,363,1684,6,1.65,17,1.01,0.28,0.0,0.0,0.0,0.66,0.28,739,1603,9,1.22,12,0.75,0.0,0.0,0.0,0.0,0.44,0.2
ddios,HD,PRE,50,1483,5,10.0,5,0.34,0.0,0.0,0.0,0.0,0.87,0.0,100,698,4,4.0,4,0.57,0.0,0.0,0.0,0.0,0.76,0.0,146,466,2,1.37,2,0.43,0.0,0.0,0.0,0.0,0.57,0.0
vampiregrave,LD,PRE,114,1854,5,4.39,93,5.02,2.63,0.0,0.0,0.09,0.67,0.39,84,505,13,15.48,68,13.47,3.57,0.11,0.11,0.1,0.69,0.68,264,447,46,17.42,60,13.42,1.14,0.0,0.0,0.0,0.33,0.16
