,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
4,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,"M500,3MB",Cosmic Courier,7,USGUM0910109,https://www.youtube.com/watch?v=AOafm3_WnX0,39
10256,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,"Zeni Geva,Steve Albini",Auto-Body - Nai Ha,7,QM6P41830298,https://www.youtube.com/watch?v=VcCK1gbDpH4,1751
14355,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Bluetech,Alchemie Dub,37,USHM90419098,https://www.youtube.com/watch?v=iU6QsxJH33o,133084
12308,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Isolée,Allowance,36,DEMM11200027,https://www.youtube.com/watch?v=Lo_huMkzoIU,15349
6166,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,Zeitkratzer,Ruckzuck,9,DEOV41700263,https://www.youtube.com/watch?v=0R8ssIYPGsE,2501
4119,death industrial,spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6,Sutcliffe Jügend,Ripper Victims II,10,GBAS91201802,https://www.youtube.com/watch?v=p5mu_X0sQM0,648
6168,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,Steve Roden,the radio station at nome,7,USXPN1100283,https://www.youtube.com/watch?v=Lxi7QO66ars,1427
8214,ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,Amadeezy,Scared Money,20,FR96X2121048,https://www.youtube.com/watch?v=Mi_irZt3vpE,1268
16409,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"EDX,Jess Ball",I Found You (Neptune),29,CH3131901465,https://www.youtube.com/watch?v=AjViPqP-JGc,281570
2080,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,2 Bit Pie,Here I Come,12,GBBTF0500444,https://www.youtube.com/watch?v=RkD_1mjF6b8,36913
16419,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"Vijay & Sofia Zlatko,Notte",Earth Groove,27,IT0311600101,https://www.youtube.com/watch?v=DGh-ntfyGXU,229659
12325,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Robag Wruhme,Venq Tolep,29,DEMM11900008,https://www.youtube.com/watch?v=MR782U6qYWY,48482
14378,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,"Sleepy Koala,Charlotte's Voice",Chiii Boiii,7,CAIFZ1800003,https://www.youtube.com/watch?v=QQmc4I2YcnY,354
43,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,"DJ Pierre,Chic Loren",I Feel Love - 1979 Disco Club Mix,32,DEBE71700243,https://www.youtube.com/watch?v=mLyxQ-kdBDk,29109
2094,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,Dat Politics,My Toshiba Is Alive,7,DEK590663106,https://www.youtube.com/watch?v=OBInV3WJkfg,72299
2046,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Dreadzone,Little Britain - 2012 - Remaster,40,GBAAA1100737,https://www.youtube.com/watch?v=dA-12m_myHY,7298
10305,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,High Rise,Turn You Cry,13,US2391802002,https://www.youtube.com/watch?v=nTEXoeZGRxs,3493
14418,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,Dijeyow,No Time in Corner,20,FR2W01300097,https://www.youtube.com/watch?v=NPDODbeMLEI,4358
12372,minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Severed Heads,Dead Eyes Opened,33,USQY51728439,https://www.youtube.com/watch?v=Orr2ZqtijCQ,109358
12379,minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Sally Dige,It's You I'm Thinking Of,31,uscgh2036755,https://www.youtube.com/watch?v=z0njJ55XtBE,33105
16475,uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,DJ MA1,Im Right Here (Naughty Mix),33,USJ3V0837143,https://www.youtube.com/watch?v=H5TVWlxvBcQ,18388
14433,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,"Nanci & Phoebe,Congo Natty,Chopstick Dubplate",Notorious - Congo Natty Meets Chopstick Dubplate Remix,32,GBCB15000002,https://www.youtube.com/watch?v=dx8nBtCxsLw,5555
101,acid jazz,spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ,The K-Creative,K Spells Knowledge - Out & About EP Version,9,GBF080300692,https://www.youtube.com/watch?v=GqV27YtUVXk,354
2159,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,"tiasu,Popskyy",Duel,20,QZ4JJ1672608,https://www.youtube.com/watch?v=Pnzvg-cCj_4,17687
8307,glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Mika Vainio,Stratostaatti,20,FISRG9600010,https://www.youtube.com/watch?v=giFk55cBjww,287070
