genre,count,mean_pop,std_pop,min_pop,q1_pop,q2_pop,q3_pop,max_pop
acid house,78.0,26.46153846153846,10.439301747675511,7.0,19.0,27.0,34.75,44.0,
acid jazz,49.0,23.408163265306122,12.160246652081355,7.0,12.0,24.0,37.0,41.0,
acid techno,69.0,20.985507246376812,11.173093670304025,7.0,14.0,17.0,29.0,44.0,
acid trance,64.0,20.5,9.714985969158802,7.0,12.0,18.0,29.0,43.0,
acidcore,80.0,22.3375,9.717456235877913,7.0,14.0,21.0,31.0,44.0,
afro house,90.0,31.07777777777778,7.114201302660864,16.0,26.25,30.5,37.0,44.0,
afroswing,36.0,30.75,10.65933527812258,11.0,25.5,33.5,40.0,44.0,
aggrotech,90.0,25.733333333333334,10.14257906611329,7.0,16.0,27.5,34.0,43.0,
alternative dance,33.0,34.09090909090909,7.497348015980535,17.0,31.0,35.0,40.0,44.0,
alternative hip hop,36.0,37.111111111111114,6.898354991394802,9.0,35.75,39.5,41.0,44.0,
amapiano,61.0,23.721311475409838,11.723382827410902,8.0,12.0,22.0,34.0,44.0,
ambient,80.0,31.7,8.700938404213884,9.0,28.75,33.0,38.0,44.0,
ambient house,63.0,21.92063492063492,10.470082704947382,7.0,13.0,19.0,30.0,44.0,
ambient industrial,30.0,16.2,7.858226526254575,7.0,10.0,13.0,23.75,31.0,
ambient techno,73.0,21.232876712328768,9.648719759557634,7.0,13.0,21.0,30.0,42.0,
azonto,73.0,24.671232876712327,9.470795453100003,7.0,19.0,26.0,30.0,43.0,
bass house,56.0,34.589285714285715,7.223136527762804,15.0,31.0,36.0,40.0,44.0,
bass music,85.0,30.529411764705884,8.650059503365553,12.0,23.0,32.0,37.0,44.0,
bassline,51.0,24.784313725490197,11.27885406500181,7.0,15.5,24.0,34.5,44.0,
berlin school,51.0,19.07843137254902,10.66366379300267,7.0,10.0,15.0,28.0,41.0,
big beat,56.0,31.517857142857142,11.685252666080006,7.0,23.25,36.0,41.0,44.0,
bitpop,70.0,26.15714285714286,11.609136474753022,7.0,16.0,27.5,37.75,43.0,
bleep techno,67.0,18.507462686567163,9.606457951481731,7.0,10.0,16.0,24.0,44.0,
boogie,76.0,19.19736842105263,10.108768123884142,7.0,11.0,16.0,28.25,44.0,
brazilian bass,72.0,24.555555555555557,9.910712498212337,7.0,17.75,25.0,32.0,44.0,
breakbeat,75.0,21.866666666666667,11.570387801360587,7.0,12.0,18.0,33.0,44.0,
breakcore,48.0,18.604166666666668,8.107625995985517,8.0,12.0,18.0,21.25,38.0,
broken beat,61.0,24.524590163934427,12.133433915394066,7.0,13.0,26.0,37.0,44.0,
brostep,38.0,37.526315789473685,7.039413527880054,18.0,35.0,40.5,43.0,44.0,
bubblegum dance,35.0,33.05714285714286,9.05519953703187,15.0,26.5,36.0,40.0,44.0,
chicago house,76.0,26.30263157894737,9.802067451093645,7.0,18.75,26.0,33.0,44.0,
chillstep,67.0,32.19402985074627,9.511139889576613,8.0,29.5,34.0,39.5,44.0,
chillwave,55.0,34.236363636363635,8.509175083758743,10.0,31.5,36.0,41.0,44.0,
chiptune,54.0,22.944444444444443,10.196959714610216,7.0,14.0,22.5,30.0,43.0,
complextro,44.0,28.09090909090909,12.635899728354595,7.0,17.75,29.5,40.0,44.0,
dark ambient,52.0,18.307692307692307,7.539538815506417,7.0,12.0,19.0,24.0,34.0,
dark electro,98.0,21.183673469387756,9.222727349790148,7.0,13.0,19.0,30.0,38.0,
dark psytrance,72.0,16.88888888888889,6.6323058160932735,7.0,12.0,15.5,22.0,35.0,
dark wave,89.0,30.303370786516854,9.493304451968937,9.0,25.0,33.0,37.0,44.0,
darkstep,57.0,22.912280701754387,10.519167372254982,7.0,15.0,21.0,31.0,43.0,
darksynth,85.0,29.741176470588236,10.459847195888884,7.0,20.0,34.0,39.0,44.0,
death industrial,26.0,18.115384615384617,9.505059381516448,7.0,11.0,15.5,22.5,41.0,
deconstructed club,93.0,26.225806451612904,9.093869210792588,7.0,20.0,27.0,32.0,44.0,
deep house,52.0,34.03846153846154,8.164873444888213,11.0,29.5,37.0,40.25,44.0,
detroit techno,79.0,26.303797468354432,9.973496198424778,7.0,19.0,27.0,34.0,44.0,
digital hardcore,27.0,18.74074074074074,11.165167650374475,7.0,9.5,15.0,28.0,42.0,
disco house,44.0,35.54545454545455,7.8783026901075335,16.0,30.0,38.5,42.25,44.0,
disco polo,76.0,32.44736842105263,9.08683257883568,8.0,27.75,34.0,40.0,44.0,
diva house,52.0,29.25,11.188010038762522,8.0,18.75,31.5,39.0,44.0,
doomcore,21.0,13.0,5.60357029044876,7.0,10.0,11.0,15.0,28.0,
downtempo,42.0,33.04761904761905,8.120892600682726,10.0,30.25,34.0,38.75,44.0,
dream trance,59.0,23.372881355932204,10.921188367011617,7.0,15.0,22.0,31.5,44.0,
drone,88.0,29.738636363636363,9.143170704570453,7.0,23.75,31.0,37.0,44.0,
drum and bass,64.0,35.875,6.940792690651636,10.0,32.0,37.0,41.0,44.0,
drumfunk,75.0,26.76,11.100085220028353,8.0,18.0,28.0,35.5,44.0,
dub techno,88.0,25.556818181818183,8.995347398357492,7.0,18.0,25.0,31.25,44.0,
dubstep,85.0,32.23529411764706,7.458850701114255,14.0,26.0,32.0,38.0,44.0,
dungeon synth,57.0,15.350877192982455,7.659007834080486,7.0,10.0,14.0,18.0,41.0,
dutch house,34.0,26.176470588235293,11.461319899228103,7.0,17.25,26.0,37.0,44.0,
electro house,19.0,39.63157894736842,4.82137055567063,26.0,38.0,41.0,42.5,44.0,
electro swing,71.0,32.23943661971831,10.207091076770942,7.0,26.0,34.0,40.0,44.0,
electro-industrial,91.0,27.956043956043956,9.225462455029422,12.0,18.0,30.0,35.0,43.0,
electroacoustic improvisation,7.0,10.0,3.1091263510296048,7.0,7.5,9.0,12.0,15.0,
electroclash,70.0,24.97142857142857,11.88101814376635,7.0,14.0,25.5,35.0,43.0,
electronica,17.0,34.64705882352941,9.842136305641349,12.0,31.0,38.0,41.0,44.0,
electronicore,40.0,22.775,10.610801221590318,7.0,13.75,21.0,32.25,43.0,
ethereal wave,78.0,26.26923076923077,11.90293325948777,7.0,15.0,28.5,36.75,44.0,
euphoric hardstyle,68.0,32.4264705882353,7.525709519722472,15.0,28.0,33.0,38.0,44.0,
eurobeat,72.0,23.26388888888889,11.398039188368896,7.0,13.0,22.0,32.0,44.0,
eurodance,21.0,30.333333333333332,12.463279397226612,7.0,24.0,33.0,40.0,44.0,
fidget house,33.0,17.424242424242426,8.884784405903947,7.0,10.0,16.0,25.0,40.0,
folktronica,62.0,26.677419354838708,10.9376387201296,7.0,17.25,28.5,35.0,44.0,
footwork,49.0,20.020408163265305,8.749975704533812,7.0,13.0,17.0,26.0,40.0,
frenchcore,74.0,25.594594594594593,10.493205784773984,7.0,17.25,25.5,34.5,43.0,
funk carioca,11.0,37.36363636363637,8.75525816035972,16.0,33.0,41.0,43.5,44.0,
funky house,81.0,31.061728395061728,8.779729037692942,10.0,26.0,31.0,39.0,44.0,
future bass,50.0,35.48,7.34635825370889,10.0,33.0,37.0,41.0,44.0,
future funk,83.0,32.86746987951807,8.388102905287433,7.0,29.5,35.0,38.0,44.0,
future garage,59.0,28.47457627118644,10.45904316221529,8.0,21.0,31.0,36.0,44.0,
future house,69.0,29.695652173913043,7.67023342659233,12.0,25.0,30.0,36.0,44.0,
futurepop,84.0,27.035714285714285,9.861017846937749,7.0,19.75,30.0,34.0,43.0,
garage house,74.0,22.58108108108108,10.874132630195808,8.0,15.0,19.5,30.75,44.0,
ghettotech,50.0,20.46,9.808804874255808,7.0,12.0,18.5,26.0,42.0,
glitch,55.0,21.90909090909091,10.202165215491029,7.0,13.5,19.0,27.0,44.0,
goa trance,36.0,13.833333333333334,6.007138610496205,7.0,9.0,12.5,16.0,28.0,
gqom,78.0,23.333333333333332,9.959224226120584,7.0,16.25,24.0,29.75,44.0,
hands up,70.0,30.785714285714285,9.897873958719192,7.0,24.25,32.0,39.0,44.0,
happy hardcore,78.0,26.987179487179485,9.274309705461668,8.0,20.0,27.5,34.0,44.0,
hard trance,69.0,20.956521739130434,10.418358771346428,7.0,12.0,19.0,27.0,44.0,
hardcore breaks,15.0,15.2,8.368307560586635,7.0,10.0,14.0,16.0,42.0,
hardstyle,89.0,33.651685393258425,6.711762272979338,7.0,30.0,34.0,38.0,44.0,
hardvapour,65.0,26.846153846153847,10.603995074426503,7.0,19.0,28.0,35.0,44.0,
hauntology,51.0,21.84313725490196,9.873950676440728,7.0,14.0,18.0,31.0,41.0,
hi-nrg,56.0,31.196428571428573,9.197666982560193,10.0,25.0,34.0,39.0,44.0,
hip house,46.0,33.45652173913044,8.447765047603829,9.0,29.25,34.0,40.0,44.0,
hyperpop,61.0,32.278688524590166,8.82067863515611,9.0,27.0,35.0,39.0,44.0,
illbient,11.0,11.909090909090908,4.2767872393783035,7.0,7.5,12.0,15.0,18.0,
industrial hardcore,59.0,17.322033898305083,9.039073567813702,7.0,10.0,14.0,23.0,39.0,
industrial techno,55.0,16.98181818181818,8.916258368826202,7.0,9.5,14.0,21.0,41.0,
intelligent dance music,80.0,28.525,9.84946827582361,10.0,21.0,28.5,37.25,44.0,
italo dance,39.0,29.358974358974358,12.038287995713771,7.0,18.0,34.0,39.5,44.0,
italo house,65.0,21.123076923076923,9.827429235797904,7.0,13.0,19.0,29.0,44.0,
j-core,64.0,23.0,10.489601805204336,8.0,13.0,23.5,31.25,44.0,
japanoise,35.0,17.857142857142858,10.338798590867365,7.0,9.0,16.0,23.0,41.0,
jazz house,82.0,27.414634146341463,10.129959501109976,7.0,19.25,29.5,37.0,43.0,
jazztronica,63.0,29.206349206349206,10.567996010717438,7.0,19.5,32.0,37.0,44.0,
jersey club,65.0,22.907692307692308,10.46530439852784,7.0,15.0,20.0,31.0,44.0,
jumpstyle,47.0,19.659574468085108,10.426297428898511,7.0,10.5,18.0,26.5,43.0,
jungle,82.0,30.670731707317074,9.873339682955896,7.0,23.0,32.0,38.75,44.0,
kawaii future bass,71.0,33.478873239436616,8.430995797700593,10.0,29.0,35.0,40.0,44.0,
krautrock,60.0,20.466666666666665,11.061410500469051,7.0,10.0,17.0,32.0,41.0,
kuduro,90.0,22.77777777777778,9.1942553850159,7.0,15.0,22.5,29.0,44.0,
kwaito,93.0,24.225806451612904,8.27270135190338,7.0,20.0,25.0,29.0,44.0,
latin house,68.0,23.779411764705884,11.385832500891931,7.0,14.0,22.0,32.5,43.0,
liquid funk,72.0,34.888888888888886,8.053615329453251,12.0,32.0,36.5,41.0,44.0,
livetronica,64.0,30.25,11.243340180422294,7.0,25.75,32.0,40.25,44.0,
lowercase,16.0,16.125,9.372833082905082,7.0,8.75,14.5,21.5,43.0,
madchester,56.0,25.089285714285715,10.726817346706822,7.0,15.0,25.5,34.0,44.0,
