,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
4658,disco house,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,"Seamus Haji,KayJay",Last Night A DJ Saved My Life - Haji & Emanuel Radio Mix,30,GBJRX0500227,https://www.youtube.com/watch?v=ARR8rzq0SOM,37208
10802,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,"Fracture,Nah Eeto",Shada Shada,33,UKEWB1600175,https://www.youtube.com/watch?v=IycF3ftPA8U,10211
4662,disco house,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,Full Intention,The Guitar - Full Intention Hi Edit,28,UKGTD1900027,https://www.youtube.com/watch?v=ghtcMq7TuJg,23854
568,afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,"AMEME,Don Bello Ni",PATCHIDO,27,GBKQU2086845,https://www.youtube.com/watch?v=U3bLdvpAVHk,12206
10808,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,D'Cruze,Lonely,32,GBDLM1300435,https://www.youtube.com/watch?v=N5Eu3GZQsyE,79323
4670,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Din Dong,W Perły Zmienić Deszcz,8,PLO381500861,https://www.youtube.com/watch?v=E6rbRYZNdOA,13229
16958,vocal trance,spotify:playlist:4pkYvU2Gr39rQZ8JWzbdyc,"Sarah Russell,Raz Nitzan",Borrowed Time,21,NLC732100347,https://www.youtube.com/watch?v=rSS1GOjDjpU,14048
576,afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,"Saint Evo,Lizwi",Mntwana,23,GB2GW0900940,https://www.youtube.com/watch?v=3XFMjjYosp4,95082
6722,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,Digital Mindz,The Portal,35,BEB682100230,https://www.youtube.com/watch?v=tG0uc_FOayg,21632
6724,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Neilio,Ohwin",Wish I Never Met You (The Vision Remix) - Radio Edit,34,BEB681500320,https://www.youtube.com/watch?v=-pAAnBoMpSc,49786
2629,breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Alec Empire,Addicted to You,19,GBBXA0100738,https://www.youtube.com/watch?v=i9HdGqR2lMU,77680
10824,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,"Marvellous Cain,Cutty Ranks",The HitMan,23,GB8KE1755591,https://www.youtube.com/watch?v=yXlhl0dOQuQ,23346
16973,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Ritualz,Third Eye Sixth Sense,34,QM2PV1693114,https://www.youtube.com/watch?v=9EX7Ps9_OXE,36350
590,afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,"DJ Satelite,Cortega,Noumoucounda",Kan Tolo,17,PT1GK2000191,https://www.youtube.com/watch?v=1H3JdlZLCzw,65112
8782,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,"Flutlicht,James Dymond,Jennifer K",Icarus - James Dymond featuring Jennifer K Remix,36,NLD682003086,https://www.youtube.com/watch?v=slQxexeLOJU,7428
14928,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Eero Johannes,Real Virtuality,13,FR5Z91300021,https://www.youtube.com/watch?v=Gp_SAkEylHg,83444
16974,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,MELLOW GRAVE,Melatonin,28,USDBY1100389,https://www.youtube.com/watch?v=QWMNEiq9l7o,37865
