,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
6501,electronicore,spotify:playlist:3Ma38ruHiz5DzF1Pb4sY1Y,Owls In the Attic,Get Out,20,TCADN1848256,https://www.youtube.com/watch?v=OZvYrWhZJdw,6921
4462,detroit techno,spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB,Stacey Pullen,Circus Act - Nic Fanciulli Remix,14,USF7D1200002,https://www.youtube.com/watch?v=ad24AHAryKI,597
10607,jersey club,spotify:playlist:0MwWDReLQ2CbFF4RNV7p2J,ClubHeadSLiiM,Like This - Original Mix,19,FI3EF1300031,https://www.youtube.com/watch?v=Bw58-9rIsfo,1773
374,acid trance,spotify:playlist:0rSDQ760FMUfBOFSAlnC8M,Final Fantasy,Controlling Transmission - Rave Mix,14,DEN061301428,https://www.youtube.com/watch?v=hdSLpZTHTJk,13018
2424,brazilian bass,spotify:playlist:1rhRPl3CJrszlIzllhvW25,"Gusty,Talkz",The Rain,32,QZP7F2118602,https://www.youtube.com/watch?v=c-mD8lw_91A,600
2425,brazilian bass,spotify:playlist:1rhRPl3CJrszlIzllhvW25,"UnFit,Low Disco",Mothenluv,32,QZHZ42042791,https://www.youtube.com/watch?v=VB9uSfQ9hNk,160
12667,new beat,spotify:playlist:3FYtlLBnRUa6zk77HtEwXo,Bizz Nizz,We're Gonna Catch You,29,BEAA18900001,https://www.youtube.com/watch?v=yggtmyIr5g8,677470
380,acid trance,spotify:playlist:0rSDQ760FMUfBOFSAlnC8M,Alien Factory,Get The Future Started,12,DEC499700291,https://www.youtube.com/watch?v=3QD2UzwdM3g,29440
4478,digital hardcore,spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp,Ec8or,Cocain Ducks,7,GBBXA9500047,https://www.youtube.com/watch?v=rbYY2uNoEos,70416
14732,sambass,spotify:playlist:3rtVTR62F5JRdaWabccLGH,"Motta & Fabio Kura,Juju Gomes",Um Samba Pra Cantar (feat. Juju Gomes) - Original Mix,8,USLZJ1262567,https://www.youtube.com/watch?v=209BA0wd_90,11
8595,hands up,spotify:playlist:29l2v5sGaKTBwZd9I74CfA,"Akustikrausch,Dj Cap,DJ Gollum",This Ocean Can't Be Tamed - House Mix,43,DEHK92101841,https://www.youtube.com/watch?v=UXfTRmmh0AQ,9960
8610,hands up,spotify:playlist:29l2v5sGaKTBwZd9I74CfA,Alex Megane,2 Times - NewDance Radio Mix,37,DET191509456,https://www.youtube.com/watch?v=ajcGT7OgmNI,3826
12709,new beat,spotify:playlist:3FYtlLBnRUa6zk77HtEwXo,"Technoid,Findike",Morphing Field - Findike Remix,12,US83Z1649877,https://www.youtube.com/watch?v=ZHgF5U5TCjY,277
4520,digital hardcore,spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp,Shizuo,The Man,17,GBBXA9700385,https://www.youtube.com/watch?v=U3kq8vRlQvU,1290
6577,ethereal wave,spotify:playlist:54eDlcyhSBrHMt6dbHyFWp,London After Midnight,Sacrifice,44,USCYY0510025,https://www.youtube.com/watch?v=egLAkA4HrXU,751592
10674,jumpstyle,spotify:playlist:0YLPrzWklBgy152fwVL0iT,Patrick Jumpen,Holiday - Radio Mix,36,NLC340718002,https://www.youtube.com/watch?v=IdVT6Z4GEo4,7871
6580,ethereal wave,spotify:playlist:54eDlcyhSBrHMt6dbHyFWp,Cranes,Watersong,42,GBARL9100064,https://www.youtube.com/watch?v=jxUeFcUnz6I,49823
440,acidcore,spotify:playlist:23TcHEHll7Ds78hkaiohPx,Sköne,À la poursuite d'un oiseau bleu,29,QZNRS2050604,https://www.youtube.com/watch?v=onsHz-qPREU,48244
16830,vaporwave,spotify:playlist:6R9NIMDGt0sK7k1EggBAhj,Renjā,When Your,18,USA2P1507196,https://www.youtube.com/watch?v=I0hi-lYoMEI,3249
