PROLIFIC_PID,d_score,o_score
5f92f3106ec462055506c357,-0.221,1
61085eb72ce70a498366f602,-0.126,3
606b0d260c8c0c5fd7c854c8,0.26,4
60dc262964386b6c44cc5040,-0.264,5
