Feature,Median,IQR
Relaxing,3.0,2.5
Commuting,3.5,1.0
Partying,4.0,0.75
Running,3.0,2.5
Shopping,1.0,0.75
Sleeping,1.5,1.5
Studying,2.5,1.5
Working,3.0,2.5
Tempo,4.0,0.25
Danceability,4.5,1.75
Acousticness,2.5,1.5
Instrumentalness,2.0,0.5
Gender,3.0,0.25
Skin,3.0,0.25
Origin,4.0,0.5
Age,1.5,1.25
