PROLIFIC_PID,Relaxing,Commuting,Partying,Running,Shopping,Sleeping,Studying,Working,Tempo,Danceability,Acousticness,Instrumentalness,Gender,Skin,Origin,Age
61085eb72ce70a498366f602,1,5,5,4,1,1,2,3,4,5,2,2,3,3,3,1
5f92f3106ec462055506c357,2,3,5,2,5,1,1,3,3,5,1,3,4,2,4,3
606b0d260c8c0c5fd7c854c8,5,3,2,4,3,4,4,5,4,2,4,3,3,3,3,3
60dc262964386b6c44cc5040,2,2,5,4,2,2,2,2,3,4,3,3,3,3,3,2
