participant,age:1,gender:1,gender:other,citizenship:1,residence:1,education:1,mb1:1,mb2:1,mb3:1,mb4:1,mb4:other,mb5:1,af:1,af:2,af:3,af:4,af:5,af:6,af:7,af:8,af:9,af:10,af:11,af:12,af:13,af:14,af:15,af:16,af:17,af:18,af:19,af:20,gf:1,gf:2,gf:3,gf:4,gf:5,gf:6,gf:7,gf:8,gf:9,gf:10,gf:11,gf:12,gf:13,gf:14,gf:15,gf:16,gf:17,gf:18,gf:19,gf:20,guttman:1,guttman:2,guttman:3,guttman:4,guttman:5,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total,artist_fam_score,genre_fam_score,avg_fam_score,open_score
s.0211ba6e-573b-45d8-ab73-bfed0f6a4ec2.txt,2,2,,Portugal,,2.0,4,2,3,2,,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,2,6089335e72cf88ca390ae1d6,6269053ac9ca43d823c77778,627230c0a5656ec6b6c00f8e,2022-05-04-09-53,2022-05-04-09-56,3,0.05,6.55,3.30,4
s.c6a824ad-5442-4683-9421-0453bef209ea.txt,2,1,,Portugal,Castelo Branco,4.0,4,3,3,4,,4,3,1,3,1,2,2,3,2,3,3,2,3,1,3,1,3,3,3,3,3,1,1,2,1,1,1,1,1,1,1,1,3,2,2,3,2,3,1,1,1,1,1,1,1,1,5c19f2319bce3100018a67ba,6269053ac9ca43d823c77778,627230b5d5de6be084082fd6,2022-05-04-09-53,2022-05-04-09-56,3,1.68,7.42,4.55,5
s.936af38a-e26a-4a12-998f-99d657122a5e.txt,2,2,,Italy,Italy,2.0,4,3,2,4,,3,3,1,2,2,2,3,3,1,3,3,2,3,1,3,1,3,3,3,3,3,1,1,2,2,1,3,3,1,2,1,2,3,1,1,1,3,3,1,3,1,1,1,1,1,2,60fc4bda50846ec2e9d96e13,6269053ac9ca43d823c77778,627230cc8acdefffa437032d,2022-05-04-09-53,2022-05-04-09-55,2,2.02,5.90,3.96,4
s.e64777a2-7399-44ed-bbf3-9789e16acfc0.txt,4,1,,Portugal,Portugal,6.0,4,3,4,2,,2,1,1,3,1,3,1,3,3,1,1,1,3,1,2,1,1,1,1,3,3,1,2,3,1,1,1,2,1,3,3,3,3,1,3,2,3,3,1,1,1,1,1,2,2,2,61123b66dae2d7c959c7ff31,6269053ac9ca43d823c77778,627230e78acdefffa437032e,2022-05-04-09-53,2022-05-04-09-55,2,4.70,3.90,4.30,2
s.a419e153-d11e-45ca-a553-498db992d612.txt,2,2,,Italy,Puglia,2.0,5,3,4,2,,2,3,1,3,1,3,3,3,3,3,3,2,3,1,3,3,3,2,1,3,3,1,1,3,1,1,1,3,1,2,1,3,3,1,3,1,1,3,1,2,1,1,1,1,1,2,5e98bb599a58620dacc368ee,6269053ac9ca43d823c77778,627230d18d8aeadb346878a0,2022-05-04-09-53,2022-05-04-09-55,2,1.30,5.85,3.58,4
s.5a105342-ac44-4d86-88ae-13f1a1b53f45.txt,2,1,,Italy,Italy,3.0,4,4,3,6,TIdal,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,3,1,1,1,1,1,1,2,2,5e8ef2059eeb7a1af7502f3c,6269053ac9ca43d823c77778,627230c0e732dbec7741d45d,2022-05-04-09-53,2022-05-04-09-55,2,5.75,5.92,5.84,3
s.4b77cd7b-8594-43f8-a446-ede3416bda66.txt,2,3,,Spain,Spain,2.0,4,3,2,2,,2,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,1,1,3,1,1,1,3,1,1,1,1,3,1,3,3,3,3,1,3,1,1,1,1,1,2,5f296fc516fd7806914948f8,6269053ac9ca43d823c77778,627230af6419bd36fcc603cb,2022-05-04-09-53,2022-05-04-09-55,2,0.23,5.40,2.81,4
s.adf1cb88-6b48-46c0-9e59-1b03f435ec43.txt,2,1,,Portugal,Coimbra,4.0,5,5,4,2,,2,1,1,2,1,3,2,3,3,2,3,1,1,1,2,1,3,2,3,3,3,1,1,3,1,1,1,1,1,1,1,2,3,1,2,3,1,3,1,1,1,1,1,1,1,2,5fafbc99efe38a2704aaf66a,6269053ac9ca43d823c77778,627230d7a4f85705733afc89,2022-05-04-09-53,2022-05-04-09-56,3,3.80,7.30,5.55,4
s.92c55590-17f7-49f8-a2cb-d029c5f4c162.txt,3,2,,Italy,,,4,2,2,4,,1,3,2,3,1,3,3,3,3,3,1,3,2,1,3,1,3,1,3,3,3,1,1,2,1,1,1,2,1,3,1,3,3,1,1,3,3,3,1,3,1,1,1,1,1,2,6005b406ccb68e778cb47a47,6269053ac9ca43d823c77778,627230b9cd717f47d768d99d,2022-05-04-09-54,2022-05-04-09-57,3,1.80,5.70,3.75,4
s.21e068b7-2ddf-44cd-a0fd-96fda691b49b.txt,2,2,,spain,spain,3.0,4,2,1,2,,2,3,1,3,1,3,3,3,2,1,3,3,3,1,2,1,3,3,3,3,3,1,2,3,1,1,2,2,1,1,1,3,3,1,3,3,3,3,1,2,1,1,1,1,2,2,60fd92df87918c57654f4264,6269053ac9ca43d823c77778,627230aeb25677291e803d97,2022-05-04-09-54,2022-05-04-09-56,2,1.83,4.78,3.30,3
