participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.457ca527-e0e0-497e-a84d-3e6bd4d7889a.txt	2	1		Italy	Italy	2	4	2	3	2		2	3	1	3	3	3	3	3	3	3	3	3	2	1	3	3	3	3	3	3	3	1	2	3	1	1	2	2	1	2	1	3	3	1	3	3	2	3	1	3	1	1	1	1	1	2	611cc498a84c67ec9c2be8d5	6269053ac9ca43d823c77778	626fe7e787b234bff30164c1	2022-05-02-16-17	2022-05-02-16-19	2
s.82e7ea0e-d6b5-41e7-bfc1-a31b339824bb.txt	2	1				2	4	1	1	4		2	3	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	2	3	3	1	3	3	1	1	3	3	1	3	1	1	3	1	3	3	3	3	1	1	1	2	2	2	2	2	61338ff14e17370977508181	6269053ac9ca43d823c77778	626fe64104403fe705b7a510	2022-05-02-16-16	2022-05-02-16-19	3
s.6569808c-7b61-418a-a23d-eecaee420e23.txt	2	1		Portugal	Portugal	4	4	3	4	2		2	3	1	3	1	3	3	3	3	3	3	3	3	1	1	1	3	3	3	3	3	2	2	3	3	1	2	3	1	3	2	2	3	1	2	3	3	3	1	2	2	1	1	1	1	2	5d70ec2138ac7e00012f817b	6269053ac9ca43d823c77778	626fe73f213023678e26821d	2022-05-02-16-14	2022-05-02-16-16	2
s.32d5064c-e546-4360-a07c-6c867f26eb7b.txt	2	2		Italy	Italy	2	3	1	1	4		2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	1	3	1	1	3	1	3	3	3	3	3	3	3	1	3	1	1	1	1	1	1	5e8783b0fde5153fbd9dca43	6269053ac9ca43d823c77778	626fe646794af54e30391f87	2022-05-02-16-13	2022-05-02-16-17	4
s.0678d020-1012-4a47-b99d-44e701fb065a.txt	2	2		Portugal	Portugal	2	4	2	3	2		2	1	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	3	3	3	1	1	3	1	1	1	2	1	1	1	3	3	1	3	3	1	3	1	1	1	1	1	1	2	2	60bfc871f210d2e01f111b21	6269053ac9ca43d823c77778	626fe64e7bd1a2990ea290ff	2022-05-02-16-12	2022-05-02-16-15	3
s.694d43a4-1528-4dee-8bd9-37931cacec63.txt	2	1		Portugal	Portugal	3	4	4	4	2		4	2	1	3	1	3	3	3	3	1	2	1	3	1	3	2	3	3	3	3	1	1	1	3	1	1	1	3	1	1	2	2	3	1	2	3	3	3	1	1	1	1	1	1	1	2	5df50a49a98a7a3924e4137e	6269053ac9ca43d823c77778	626fe68bdc3734a9db352803	2022-05-02-16-12	2022-05-02-16-15	3
s.72359127-9bfa-4b9f-b67a-f02754d16a43.txt	2	1		Portugal	Portugal	3	5	4	5	2		4	1	1	2	1	1	1	3	1	1	2	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	600a4e976b660c1b22959bbb	6269053ac9ca43d823c77778	626fe65277c4c243ca355750	2022-05-02-16-11	2022-05-02-16-14	3
s.d9c5bf26-d0e9-4d2b-b5e1-8536f8ecd977.txt	2	2		spain	spain	3	4	2	2	4		2	3	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	2	3	3	3	1	2	2	1	1	2	1	1	2	1	3	3	1	2	2	3	3	1	2	1	1	2	2	2	2	5b755869d5d7a80001b45a1e	6269053ac9ca43d823c77778	626fe67b415425e1db54987e	2022-05-02-16-11	2022-05-02-16-13	2
s.03453f8f-7a36-4c1b-90b4-58ce8c643f15.txt	3	2		Spain	Spain	5	4	4	4	4		2	3	1	3	3	3	3	3	3	3	3	1	3	1	1	3	3	3	3	3	3	1	1	3	1	1	1	3	1	3	1	3	3	1	3	3	3	3	1	1	1	1	1	2	2	2	60017e06ec9b1e03b7f52c62	6269053ac9ca43d823c77778	626fe64afaa2462dac901f0c	2022-05-02-16-11	2022-05-02-16-13	2
s.3960be73-2c2e-42fd-9271-7159e81c8c03.txt	2	2		Spain	Spain	3	5	5	4	2		3	3	1	3	2	3	3	3	3	3	1	1	3	1	1	1	2	2	3	3	3	2	1	1	1	1	1	3	1	3	1	1	3	1	3	1	3	3	1	1	3	1	1	1	1	1	612cd9f34adcee82f65685a1	6269053ac9ca43d823c77778	626fe650b00379d6420fd079	2022-05-02-16-11	2022-05-02-16-15	4
