participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.0d2aa6ca-9a11-4afd-a287-eef116e97eb2.txt	3	2		Italian	Italy	3	5	5	4	2		2	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	1	1	1	1	1	5f0a14d0c729c62cd9b16427	6269053ac9ca43d823c77778	6270fd3959b6705f69308444	2022-05-03-12-00	2022-05-03-12-04	4
s.78795bb8-e747-40be-bde9-23a2b5e5c1ac.txt	2	1		italy	italy	2	2	2	3	2		3	1	2	3	1	3	3	3	3	3	1	1	3	1	3	1	3	3	1	3	3	2	1	2	1	1	3	1	3	1	1	2	3	2	3	3	1	3	1	1	1	1	1	1	1	2	6107f8e71da90474ed188cb3	6269053ac9ca43d823c77778	6270fd2dea44c284be9c654e	2022-05-03-12-00	2022-05-03-12-02	2
s.436e3aa0-b0bc-4456-b57a-082da3dcc70a.txt	2	1		italy	italy	3	5	4	4	2		2	2	1	3	1	3	3	2	2	3	2	1	3	1	3	2	3	1	1	1	1	1	1	2	1	1	2	1	1	1	1	3	2	1	2	2	3	1	1	1	1	2	2	1	2	2	5fe98a7e15b59b86bc0a5b7f	6269053ac9ca43d823c77778	6270fcfc659b38a54fce2969	2022-05-03-12-00	2022-05-03-12-03	3
s.9a4df140-10cd-4cd1-be91-c20441601b04.txt	2	1		Italy	italy	2	4	4	2	2		1	3	1	3	3	1	3	3	3	3	3	1	3	1	3	3	3	3	3	3	3	1	1	3	1	1	1	1	1	3	1	3	3	1	3	1	2	3	1	1	1	1	1	1	1	2	60a280d663834ecd8d6a7e86	6269053ac9ca43d823c77778	6270fd34659b38a54fce296c	2022-05-03-12-00	2022-05-03-12-03	3
s.d2da9877-a382-4286-8d48-97234c1783bb.txt	3	1		Italy	Italy	2	5	3	3	2		3	3	1	3	1	3	3	3	3	3	1	1	2	1	1	1	3	1	1	3	3	1	3	3	1	1	1	2	2	1	1	3	3	1	2	3	3	3	1	2	1	1	1	1	2	2	5ef0932312818b06a0abf52d	6269053ac9ca43d823c77778	6270fc5700961c5445c73b17	2022-05-03-12-01	2022-05-03-12-05	4
s.33b989d6-2aa8-4a65-b0c1-fb99ed2feba5.txt	2	2		Jesi(AN), Marche	Jesi(AN), Marche	2	5	4	3	4		3	3	1	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	1	1	2	2	1	1	3	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	60d0d3e7e4d728de23952f2a	6269053ac9ca43d823c77778	6270fd40e5d4cbb63f242ca5	2022-05-03-12-01	2022-05-03-12-06	5
s.32b1c466-647e-4b9f-8ed8-83746a7cd89b.txt	2	2		Italy	Italy	2	5	4	3	2		3	3	1	2	3	2	3	3	2	3	3	1	2	1	3	3	3	3	2	3	3	1	1	2	1	1	1	1	1	1	1	2	3	1	1	3	2	3	1	2	1	1	2	2	2	2	61071bc6d5e086fc27f57884	6269053ac9ca43d823c77778	6270fd6d23b4e61425db3b22	2022-05-03-12-01	2022-05-03-12-04	3
s.822dd5ca-cd86-4cbd-90b5-cc38419e72e8.txt	2	1		Italy		2	4	3	4	2		3	3	3	3	3	3	3	3	2	3	3	3	3	1	3	1	3	3	3	3	3	3	2	3	2	1	2	3	1	3	1	3	3	1	3	3	3	3	1	3	1	1	1	2	2	2	616d12fbecad74016c80cab9	6269053ac9ca43d823c77778	6270fd84f42c6fd6cc551759	2022-05-03-12-02	2022-05-03-12-04	2
s.1a93e60c-ff6a-4873-ba51-af85b71fda8b.txt	4	2		Italy/Piedmont	Italy/Piedmont	3	4	5	4	2		2	1	1	2	1	3	1	3	2	3	1	1	2	3	3	3	3	1	1	3	3	1	3	3	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	1	1	1	1	1	5e830f59e432f201ddcbc319	6269053ac9ca43d823c77778	6270fd43176322d11102368f	2022-05-03-12-02	2022-05-03-12-05	3
s.0a5d8660-1013-4c1e-ab21-e883067ab671.txt	2	2		italy	italy	3	5	4	4	2		2	3	1	1	1	1	2	3	1	1	1	1	1	1	1	3	2	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	1	1	1	1	1	1	1	5d9493f46fe71d00193d3a2c	6269053ac9ca43d823c77778	6270fd831ad9a8437832285a	2022-05-03-12-02	2022-05-03-12-05	3
