participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.81c08db9-9343-4995-a4aa-4478bcf78fd5.txt	3	1		Portugal	Portugal	4	4	2	2	2		2	3	1	3	1	1	3	3	3	1	1	2	3	1	2	2	3	2	2	3	3	1	3	1	1	1	1	1	1	3	1	3	3	1	3	3	3	3	1	1	1	1	1	2	2	2	61228d9531e3fd084f5d5067	6269053ac9ca43d823c77778	626a98b7d6b89e4316eafd18	2022-04-28-15-38	2022-04-28-15-40	2
s.9b5cb046-1c5f-4307-9f5c-8bca4f08b19a.txt	3	1		Portugal	Portugal	2	5	4	4	2		2	3	1	3	1	3	3	3	2	1	3	1	3	1	1	1	1	3	1	3	3	2	1	2	1	1	2	2	1	3	1	2	3	1	2	3	3	3	1	1	1	1	1	1	2	2	5dee6f4d3b1c9450c5d126fc	6269053ac9ca43d823c77778	626a9f25efa1e2f3fc302e0b	2022-04-28-16-05	2022-04-28-16-12	7
s.219b7d0a-fa4b-401f-9a02-7dfd4c3752b1.txt	4	1		Portugal	Portugal	4	4	4	4	4		4	3	1	3	1	3	2	3	1	1	1	1	3	3	3	3	3	1	1	3	3	1	2	3	1	1	1	2	2	2	2	3	3	1	3	3	1	3	1	1	1	1	1	1	2	2	616b150c5150ade144c3da61	6269053ac9ca43d823c77778	626a974d47a0c5f0a9e767e6	2022-04-28-15-32	2022-04-28-15-35	3
s.56b0efaa-0ea0-4564-8a5c-42618dbd3baf.txt	4	1		Portugal	Portugal	2	5	4	4	2		3	1	1	2	1	1	1	3	2	1	1	1	2	1	1	1	3	1	1	3	3	1	1	3	1	1	1	3	1	2	1	2	3	1	2	3	2	3	1	1	1	1	1	1	1	2	5ecfe3eaae7358068922beb7	6269053ac9ca43d823c77778	626a96359964cf5affd84686	2022-04-28-15-30	2022-04-28-15-33	3
s.552242a6-47b2-4e0b-81f8-28ce457c3d09.txt	2	2		italy	italy	2	4	3	4	2		1	3	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	3	3	3	3	2	2	1	1	3	3	1	3	1	2	3	1	3	2	2	3	1	3	1	1	1	1	1	1	5feb64b3341f42bb63200e36	6269053ac9ca43d823c77778	626a9757138819c1ccd12b43	2022-04-28-15-33	2022-04-28-15-35	2
s.8ff98eb3-0a2c-4c1d-b104-927097970c50.txt	2	1		Portugal	Portugal	4	4	4	4	2		2	3	1	3	1	2	2	3	2	3	1	1	3	1	1	1	3	1	3	3	3	1	1	3	1	1	1	2	1	1	1	1	3	1	2	3	3	3	1	1	1	1	1	1	1	1	5fda8761cffa3b71e6d684bf	6269053ac9ca43d823c77778	626a973d00a368ca8078e6af	2022-04-28-15-32	2022-04-28-15-34	2
s.9a9c0149-10df-48f5-a563-c519404864c1.txt	2	3		Portugal	Portugal	3	4	3	2	2		4	2	1	2	1	3	3	2	3	3	3	2	3	1	3	1	3	3	3	3	3	2	2	3	2	1	1	2	2	2	2	3	3	1	3	2	3	2	1	2	1	1	1	2	2	2	61465149835949882116b8c4	6269053ac9ca43d823c77778	626a95c4acb4e708a275e8ba	2022-04-28-15-25	2022-04-28-15-27	2
s.5cbda229-e058-419b-ad4f-0db50e8b9948.txt	2	2		Portugal	Portugal	3	4	2	3	2		3	3	1	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	1	3	3	1	1	3	3	1	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	616b2703143d4550968777b8	6269053ac9ca43d823c77778	626a97426a8a2918fef10c3b	2022-04-28-15-35	2022-04-28-15-38	3
s.8e319737-36d6-4b79-8cc3-d00850dc4d67.txt	3	2		Spain	Spain	4	4	2	3	2		2	3	1	3	1	3	3	3	3	3	3	3	3	1	3	1	3	1	3	3	3	1	1	3	1	1	1	1	1	3	1	3	3	1	3	1	3	3	1	3	3	1	1	1	2	2	61712b162161b5362dd40119	6269053ac9ca43d823c77778	626a975e264ace31aa2a4783	2022-04-28-15-32	2022-04-28-15-34	2
s.1b2ecd40-3b3b-4bdc-a2d3-683a0924b32a.txt	2	1		Portugal	Portugal	3	4	4	4	2		4	3	1	3	1	3	3	3	3	3	1	3	3	1	1	1	3	3	3	3	3	2	1	3	2	1	1	2	1	1	1	1	3	1	2	2	3	3	1	1	1	1	1	1	1	1	5ecd600061398f0bffb5ccef	6269053ac9ca43d823c77778	626a98be3f97ac3574e90a38	2022-04-28-15-39	2022-04-28-15-42	3
