PROLIFIC_PID,d_score,o_score
608539cd54e4230bbaaf4959,0.466,4
61641b8573a9dcd29ba9d87b,0.09,2
5d8346167ed176001888204d,-0.22,3
615e2e6bb4b4ab6fa6f6086f,0.02,4
60f5a332d13bb868d7724c52,-0.317,1
5f8eed755fcafb0baa531301,0.312,5
5f11ccbc1a1a2c08b4a99efb,-0.389,5
60c939c438c389b49847c08b,0.419,5
60aabff11bad269f664ccbc7,0.013,4
6082f09379b513197ffeb54e,-0.128,4
612ccc537fd00ae8b3e8b95f,0.633,3
5f0471a92ec97b6d1aec7739,-0.3,3
5ea718879d28c80bf38bcb7f,-0.257,3
60ecadbc339c0f0e49a9c370,0.489,1
5ef698a927c8ea38d5bcc192,-0.218,2
5f6132f075b3fa0ac649fd3c,-0.688,5
5f27df9a9858eb0008fd7aa3,0.705,4
6145dddfa6fcfd396e1f4f1a,-0.006,1
60b3576258dd0303232cb158,-0.008,2
6166e78051425fa22de68491,-0.043,5
61071bc6d5e086fc27f57884,-0.164,4
60fd945c307626b8b4d4e4dc,0.027,0
609e866bea124d8bae2e1ce8,-0.176,4
5f20247996215b06459cdfff,-0.07,5
612820047346933da8342f74,-0.411,5
5e85fb52694b68049c112544,-0.011,3
605c984fb45a5c4f390a8c6b,-0.103,5
5f8f1d38e25d2b1306f8e554,-0.1,2
5d39dd63c49dae00016065c7,0.128,5
616b2703143d4550968777b8,0.705,5
6076dfb3ec881562b02b03a7,0.698,4
5f285902166da3151b01faf2,-0.12,5
60bd04a3749e1ca47e54d3e1,-0.195,3
5ebc3cc7adb5e706b8021deb,-0.016,4
60a44015d0ff9f3d81a1a1c8,0.388,5
5d70ec2138ac7e00012f817b,-0.037,3
612fe64ec0e4e3b001e553ef,0.3,4
6134fe6f036b9de4fb216cb2,-0.643,4
605663e5147a7b66e6853a0b,-0.778,4
5ecd600061398f0bffb5ccef,-0.288,4
5f33ead9400eee2403448c32,0.063,3
5dcbea3588381e87f60cb202,-1.112,4
5c7c3909042bf900012ab4d1,0.066,4
613d091096ca434d703f77c5,-0.364,4
5e92f26b444572122fdfe44d,0.607,5
