participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.da56c9c8-686b-45f7-8f53-dd0860107a58.txt	3	5	5	5	4	2	3	3	1	1	1	1	2	3	5	3	2	4	3	4	2	iat.2022-07-25-1529.data.da56c9c8-686b-45f7-8f53-dd0860107a58.txt	615db8621a77715a3f2e6b54	62d91d8a8acf42b997a53e67	62de98c834fc0c7c2d123842	2022-07-25-15-21	2022-07-25-15-29	8
s.2ffb4814-2bb2-4b6f-b320-f9150469eca1.txt	4	1	4	4	2	1	1	5	1	1	1	1	1	3	4	2	3	3	3	4	2	iat.2022-07-25-2342.data.2ffb4814-2bb2-4b6f-b320-f9150469eca1.txt	615da7549e575b94827b81ab	62d91d8a8acf42b997a53e67	62df0c33618a47f7190ed201	2022-07-25-23-33	2022-07-25-23-42	9
s.b7fd75e1-b89e-493d-9c5b-41b264989413.txt	2	4	3	4	3	4	2	4	1	1	1	1	1	4	4	4	1	5	1	5	2	iat.2022-07-25-1706.data.b7fd75e1-b89e-493d-9c5b-41b264989413.txt	604a3c8ec261d2fa6ac242c3	62d91d8a8acf42b997a53e67	62deaf03e68e46b7d51253bc	2022-07-25-16-56	2022-07-25-17-06	10
s.f165cd41-4c71-484f-a045-00fcee776891.txt	2	4	5	4	2	1	1	3	1	1	1	1	2	4	3	2	3	4	2	4	1	iat.2022-07-28-2156.data.f165cd41-4c71-484f-a045-00fcee776891.txt	6113a568434313758954bb53	62d91d8a8acf42b997a53e67	62e2e736ed24b6def42c0101	2022-07-28-21-45	2022-07-28-21-56	11
s.dead4f8f-5912-49db-a8e1-2f97de6a7721.txt	1	2	4	3	2	1	1	1	1	1	2	2	2	4	5	2	2	4	1	5	2	iat.2022-07-25-1524.data.dead4f8f-5912-49db-a8e1-2f97de6a7721.txt	5f8b031f5f71b109548721bd	62d91d8a8acf42b997a53e67	62de9769e364c5e8a78817c4	2022-07-25-15-15	2022-07-25-15-24	9
s.2108062e-5612-4a58-b915-47731977b70f.txt	1	2	4	4	4	1	2	2	1	1	1	2	2	4	2	3	3	3	2	2	2	iat.2022-07-25-1615.data.2108062e-5612-4a58-b915-47731977b70f.txt	6107f8e71da90474ed188cb3	62d91d8a8acf42b997a53e67	62dea395db9643b2feca0cd0	2022-07-25-16-07	2022-07-25-16-15	8
s.398a0a55-5f0d-4344-918a-75394ff6e4b3.txt	3	3	4	4	3	1	2	3	1	1	1	2	2	4	3	2	2	4	2	4	2	iat.2022-07-25-1524.data.398a0a55-5f0d-4344-918a-75394ff6e4b3.txt	60f1881264ff3a7f211d186a	62d91d8a8acf42b997a53e67	62de97a9cc18be5b2f1dce7a	2022-07-25-15-16	2022-07-25-15-24	8
s.8620af57-30ff-4e7c-9241-e895cf474886.txt	2	3	5	4	2	1	2	3	1	2	2	2	2	5	4	2	2	3	3	3	3	iat.2022-07-25-1935.data.8620af57-30ff-4e7c-9241-e895cf474886.txt	5e8f31ca66838a1ff52975b5	62d91d8a8acf42b997a53e67	62ded23966191d6f032f35bb	2022-07-25-19-26	2022-07-25-19-35	9
s.40868b40-d076-42ee-8739-7d234d4ba2ec.txt	2	2	4	3	4	1	1	3	1	1	2	2	2	5	5	3	3	4	3	3	2	iat.2022-07-26-1534.data.40868b40-d076-42ee-8739-7d234d4ba2ec.txt	60d9a7c0aebfc51577e97903	62d91d8a8acf42b997a53e67	62dfeb6c6c0f1a50504b8ef8	2022-07-26-15-26	2022-07-26-15-34	8
s.5db61a1a-7deb-433a-b10a-b3244c0c4228.txt	3	4	5	5	4	2	3	3	1	1	1	2	2	4	4	3	3	3	2	3	2	iat.2022-07-27-2247.data.5db61a1a-7deb-433a-b10a-b3244c0c4228.txt	5fb3d4024e5665000a941d9d	62d91d8a8acf42b997a53e67	62e1a2407c3c336de99e348b	2022-07-27-22-38	2022-07-27-22-47	9
